# Generated 2020-05-22 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-05-21, "AgentTesla exe", "http://abass.ir/smallyx/smallyx.exe", 7f75e3c939345bb3dd6c5f88fe936185, dd68ec45b984d8e8516cdd56cf0dd3969bcca293, 186926c5114f3c21eef158cc18f815591edc48864f0f6817d3677a5e6ecef7ed, 12288:UBEm2TGS371Df9rjlPd+2ZrC0JA+FO/nrTFfDxvF8OzXD6po0:UynTR7FVrD+OXSTFfg,"365695.bin.TMP", Windows executable (MZ), 735232 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-05-21, "AgentTesla exe", "http://abass.ir/ugobuild/ugofilezx.exe", b2312aac4c42a97388bb8d91a3030328, 1b1ac18e6d7f212f98c104c1bad95382ed9be5c9, 853e847535309f5f01990837ce0a529755fa71f5ab4e616f144009ecf5f0680c, 12288:3R8OmEiq8jcTKQx/WcATgiBft2Ezt1X4Nh8x/RbKcujYeDQ:3yHE2jW9sNpLjW8x/dKcujk,"365984.bin.TMP", Windows executable (MZ), 683520 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-05-21, "AgentTesla exe", "http://fs01n5.sendspace.com/dlpro/b556e4efb7296a86125b359391bb5c6f/5eb7d40d/tb7dfw/invoice_pdf.exe", 5d241de8a802c0c266c37db904c8fa4e, 04c7336461f2658719f37bed9c1bed9e082ecb24, 17f7c928cbf3712cb7081540fd3cbd5be08ae2b0023fe774504ecb5846b5f907, 24576:A4RXhAvAwGj/Xl0tz5XiJOgPfNWeX7GwYzEEAyMh:zQvA9j9ilXiJOgPmAyMh,"365652.bin.TMP", Windows executable (MZ), 1027584 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, mh:c198a4902d4891d7504e0bbbae408256
2020-05-21, "AgentTesla", "https://vpn-dragon.com/vpndragon.exe", ca34ecc57bbde323ee50484654a0964b, 419b3bd758d1226b25e54b1bbfc679b5ede0c56b, d1eb54cb3aa9ba1fc585cf676c4a814b11786b962da1b1959768794d281084ab, 49152:AZ2AcZx889fvdijRf3d786Zb2u2dGioDCWhHGt8o0E2:ALcZx39f4jBN3b52dGioDCWFGt8o4,"366197.bin.TMP", Windows executable (MZ), 3526656 bytes, nh:64e707ca0be30d0a136c542c48ec1a2e, -
2020-05-21, "apk  Cerberus", "http://bedava20gbinternettttt.com/hediye20gbnet.apk", 3e998287b720359fbdb9ffcadbd220b0, c49eac2dd517d5aece24c664aa61b7a79e1e5322, c52cdb9e7ff2f5a95619a6803e0e3af070ba108ce32610f42cb527d41f33a293, 24576:l7qQ98TVciGfMRGgq2g20dqfUmgLDnJZJy4164JTZ5udxyDhw9ZBKwIEn3lIP09:l7qQOFWMRGgq2gXqfUmgLD9NTZ5ix8h8,"366251.bin.TMP", PKZipped file (Office .JAR .WAR), 1474980 bytes, -, -
2020-05-21, "apk  Cerberus", "http://bnfitsway.com/download/benefitsway241135.apk", dd004c7c799224d151e8f672cccc2ca1, 96934513891bdb684439f6fd6e5b94f8574d6a9c, 033eb9c1d42cefe71f5927e9dc3d33883c46298ad1eb14042f7a8e4327bd1f37, 24576:krFiIFadxyDh/Y4uBG2Fg+/C+70V/6wO2mnPmLUfqvtJ+Ro/N4BrcQLHp2ep4+Ox:krFiIF2x8h/Y4uBG2S+FrH2Q94uCTiHW,"366151.bin.TMP", PKZipped file (Office .JAR .WAR), 1492213 bytes, -, -
2020-05-21, "AveMariaRAT exe", "http://fs01n2.sendspace.com/dlpro/28c125d0740fb5d83e8add1dbf835f42/5e3ab8e6/sdowak/test3_2020-02-05_14-22.exe", 0a9160043e955195b057cf95514a0e29, be4b2cbf21ec3449cd97869ab259ee7be4db555c, 2c769be8f9c6c512b596c43a6d4d25d63d841fa4f52334dfd6a109cbf967610b, 3072:/WjplY8CFV4tf80g6geLg2gOTAyRdFzfM:erY8Y++6ZLRTO,"365651.bin.TMP", Windows executable (MZ), 126464 bytes, rh:b24f980b6c97541b2ef9aaadd4b6ef4c, -
2020-05-21, "AveMariaRAT exe", "https://fs01n5.sendspace.com/dlpro/ec61fc6a6ee71302ab203a821ae500f9/5e4032bb/sdowak/test3_2020-02-05_14-22.exe", 0a9160043e955195b057cf95514a0e29, be4b2cbf21ec3449cd97869ab259ee7be4db555c, 2c769be8f9c6c512b596c43a6d4d25d63d841fa4f52334dfd6a109cbf967610b, 3072:/WjplY8CFV4tf80g6geLg2gOTAyRdFzfM:erY8Y++6ZLRTO,"365667.bin.TMP", Windows executable (MZ), 126464 bytes, rh:b24f980b6c97541b2ef9aaadd4b6ef4c, -
2020-05-21, "bashlite elf gafgyt", "http://1.246.222.9:4420/Mozi.m", 9a111588a7db15b796421bd13a949cd4, 034c8c51a58be11ca620ce3eb0d43d5a59275d2f, e15e93db3ce3a8a22adb4b18e0e37b93f39c495e4a97008f9b1a9a42e1fac2b0, 1536:pymLLU1F5kHIrIj0D6rhfd+lK3exiTCzxNtI4sZLi6UEbFEBFaW1EH6t6wfPP/Q:2F+ooxalK3exiTOijZLdUEbFlWPP/Q,"365673.bin.TMP", Linux executable (ELF), 95268 bytes, -, -
2020-05-21, "bashlite elf gafgyt", "http://176.113.161.131:42166/i", 9a111588a7db15b796421bd13a949cd4, 034c8c51a58be11ca620ce3eb0d43d5a59275d2f, e15e93db3ce3a8a22adb4b18e0e37b93f39c495e4a97008f9b1a9a42e1fac2b0, 1536:pymLLU1F5kHIrIj0D6rhfd+lK3exiTCzxNtI4sZLi6UEbFEBFaW1EH6t6wfPP/Q:2F+ooxalK3exiTOijZLdUEbFlWPP/Q,"366166.bin.TMP", Linux executable (ELF), 95268 bytes, -, -
