# Generated 2020-10-04 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-10-04, "bashlite elf gafgyt", "http://157.245.177.221/m68k", 9b7326f4abbe7dceccab50039d5b9126, 10c0eecad7fed48d6ded21bb560260a568d517c9, da3b5004b36af5ff1fc070b3f0a7de9c1ffb4739d1800ceedd5b44a34de0f457, 3072:Ydg8GXIDvGIk1MG8+mjypvZ6oamm/QcuLB1niDNb:YuFX0GIk1MHyph/amm/QcuLB1niDNb,"650969.bin.TMP", Linux executable (ELF), 118090 bytes, -, -
2020-10-04, "bashlite elf gafgyt", "http://157.245.177.221/mips", ba913fb76de6fe544d8ef4499a014dfe, d214df635639b630d15aeb35c942cba0143eb8f7, 33c80e8c610c4177ed05f2e8ced8a9dd6be52ffc669aa1165c08cdc6f4fe81c3, 3072:JW6dm9tS1aRGQdK76t/zCOI5mrThPaLEnvPrNb:c6IG+LCfmrThPaLEnvPrNb,"651033.bin.TMP", Linux executable (ELF), 155428 bytes, -, -
2020-10-04, "bashlite elf gafgyt", "http://157.245.177.221/mipsel", 554680435404ffc0c391dbaa125fc992, 361faacc55734973dae3ea5efbb7cfcd2b49d87f, 525c07520c1aa1c1a8515a2f53bca1b5a82c2f602e3471adaf6850f04bc4f3d0, 3072:dgZc9h1jlnLA2PiXYeyCcnVNMVGuo9mrThPaLEnvPrNb:dd7lnLA2PiIeyZnVWDo9mrThPaLEnvP5,"650982.bin.TMP", Linux executable (ELF), 155476 bytes, -, -
2020-10-04, "bashlite elf gafgyt", "http://157.245.177.221/powerpc", dc3f476f7916f5458a13dd2f3a29ec4d, b4bcf6064dcde3e98a164202115b8796ff19dbfc, 37ab284607f266a52f7424ca59a33d6d2ead9099d7b046d17c1c77c9660dc9dd, 3072:pC/4rdZHsXsZwwR9DNk5mm/QcuLmHniPNb:pCwrvHwsZwY9DOmm/QcuLmHniPNb,"650974.bin.TMP", Linux executable (ELF), 116786 bytes, -, -
2020-10-04, "bashlite elf gafgyt", "http://157.245.177.221/sh4", 78e50b0cb656f0aad7207e7e9d8f77bf, 6516a4a65920c8878dcae634850c7937e12bd4f9, a3eb0cc378cca72fed5e29cf32b3210abe32cede9eaf7b1daa743ca6a3813462, 3072:MDVLSItJP+Xsp4JlN3HFjmH1cuEgvniuN/:MDV+ItJH2l3HFjmH1cuEgvniuN/,"651028.bin.TMP", Linux executable (ELF), 112633 bytes, -, -
2020-10-04, "bashlite elf gafgyt", "http://157.245.177.221/sparc", c62abe3ad2f49af7557a45d9e0f630c4, 34284d94c628fd6a373b0a187a1ee7375dc54df8, 25e523cc997150536d6e72b867cf52730fd2114fe726086d8f69b219c100b8db, 3072:wsrp9xV+GZTZepNPhj+e3fSqP8L7ymm/QMurB1nKGNb:SMQplV8amm/QMurB1nKGNb,"651029.bin.TMP", Linux executable (ELF), 129856 bytes, -, -
2020-10-04, "bashlite elf gafgyt", "http://157.245.177.221/x86", 2fee8e8a394b859ce2de083e9d3ce8bc, 515b958037f73df01e62cad5410858a2373ea039, b94f1e06b96d3d9bbd642f98e06bfb9903ef242d27f92252209ee30880aeb33f, 3072:kiry859a2ADJf9wHYqbgFFo8+HeAB+TRCm7FnVqfJXFWbNb:T9a2aLqkrMcsm7FnVqfJXFWbNb,"650975.bin.TMP", Linux executable (ELF), 116503 bytes, -, -
2020-10-04, "bashlite elf gafgyt", "http://171.22.24.217/a-r.m-7.GHOUL", 9ce9929355895d0885f598d6f5e2c671, 29400d66aaddea8a8248666e201ca54af0112878, 0f5c59dfe42e81c4902c943d46c5b5c7597d74988ee0d0f4118870dd600e72de, 1536:EQpFOADppqpXFLC0cz1dW3ISvRd4zacgA8EmQ9VqXjtWf2Xe:ESVDi1zcz1dW3FMabA8EmQ9VqXBWf2Xe,"650972.bin.TMP", Linux executable (ELF), 88787 bytes, -, -
2020-10-04, "bashlite elf gafgyt", "http://171.22.24.217/i-5.8-6.GHOUL", a20ecd6cd4cc0b24f7c959d3d288616c, 3f53b0181b2c5c2590c6f35397adb321c12b7f72, 4fdd309471c634e9537e5744f942b0a02a2e190a94a876187caac7314fb602b4, 1536:c41QTBQ81gDbAG1g+QmCyKEycV9ILVceyvyg40+cjiwTmQ9VqXjewf2Le:tKTBjgDJ19TVMLVceyvyx3kmQ9VqXywp,"650933.bin.TMP", Linux executable (ELF), 93262 bytes, -, -
2020-10-04, "bashlite elf gafgyt", "http://171.22.24.217/m-i.p-s.GHOUL", fbfb26aabe4a6a2d1c94bce18eeb2e48, c7d8819127b55c59e214e644aa2e43cfb58d9de3, 15d4d6631910d5d6fbc084968096f98bfb7cf174568c55e0cd0ec03a531430dc, 1536:P7ju1Tepq+XLYh2rKVneLLNTTeTUdAOXirQYOlAUmkiSFxfC7xbXe:WsQiLNTryOXiNOyUmkiSFxfKxbXe,"650978.bin.TMP", Linux executable (ELF), 117386 bytes, -, -
