# Generated 2020-10-06 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.arm", 9fb2b5d5f937f10313866af1cc062148, a2e702d6d6993750e8340de6ceae352b5a7feaa4, 676ceb3ebdcf509a1b52e39be62c0a76100c3a395973ea1cf1c1b62358a4b92f, 768:XPUYvuBhFZGATzvLjwScl4zoLyNzIUvqPr6d2FPQq6zfPzeR2jr0QtKBNO2CzQQD:8YmLFZGAfLj1KM4xUas2FrcbOba,"656535.bin.TMP", Linux executable (ELF), 50940 bytes, -, -
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.arm5", 7005b10e53a3014e94fd3650fa007d52, d8dc5a171fdb1747100902d7333229b269f0b1df, 1b93c512641da9f0c6810bf2f47a13d201074622c7bed40ad3a09a502f04ad1f, 768:uayAyDCmlUWFh+lJGLVOaa8td6OaRM2TSMvqPrNgm28tQ691PunvnrRse1/BNu1a:kem+Kh+lJGL3GfSMa728dmspi,"656537.bin.TMP", Linux executable (ELF), 41076 bytes, -, -
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.arm6", 0c2e37237bd9a7400b2580099372d6ef, 850db89fd5e9e8e406dc7aebc3027f1dccb6a842, 9f108309384c3467c31dfd88a5d51ba8716bdb70fb6d359c8694688215ea4407, 1536:itnoE5chNGJYg4uNZZFnqzrezTI+iM3GumXt:A5kNGf4Ivqk3GumX,"656531.bin.TMP", Linux executable (ELF), 62768 bytes, -, -
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.arm7", 1d7734d38b27cbb1dd0a9339e52bd650, c81a5c143d2e63421e4aa9c139061879e18b5623, d82d1c04a5c2aff5a4dfb851c4c94afed9739b6d31e208ba10ba70f5d8584313, 3072:qhXB2eOMiBHhjqFsBQk1eQ7kA0A+qr2M/9pHirw:qhXkHMq9qFsBQkYQyA+qqM/91irw,"656528.bin.TMP", Linux executable (ELF), 123847 bytes, -, -
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.m68k", 8e199edb1870d3117e9e8ee56314ea2b, 70851b22ca75cfcece9830051d5dc01ed68e8798, ada1c429050a23a4639f33c5c71e468f07fa13a46a943fd9ce0efc833e1e1f90, 1536:+4fbc0WMs3s8WsnjG5FAPWaKgEbKtJy9hf86z:+T9tc8rnwiWhHsJyDB,"656536.bin.TMP", Linux executable (ELF), 53416 bytes, -, -
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.mips", 900abf2730bbf6e9e4f3a13c86c5d655, 3e6e923c7c1680bf1e73f6ec056759b61b791f63, 7db662057b9211cce22237e0db4c878eb458a444b9fbb69803b6bbd7a4a37c77, 1536:YHhpP9CD5A1vyi5+n5UXF9iLTeop3N+Spqgdt/h9q5V1fMDV:YH3QGhyIeTeI3N1bdYvfg,"656533.bin.TMP", Linux executable (ELF), 67700 bytes, -, -
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.mpsl", 7d405b7f8f1afd174ad292df4d3cdcf8, 2294aa2abca2b0cd35cb40a2278f318de98603d9, 7052ed7b0a83dee237b64ac83a3cf18518b39ee947adf43e9a8f8c4bc253bfbf, 1536:t8Ls6R+mRa0S9uaWYLwl/gcwAAL+0/vspZ1dngxJo:t8A6R+mRa01YUJCsp0o,"656532.bin.TMP", Linux executable (ELF), 68100 bytes, -, -
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.ppc", 106008a24176f5cf301019fefc606e11, 4510dd8eb19fa16c37e7e68bd516255b8fa6e099, 193a069628652b283bbb7b2b5997b2331cb1a63b829cea4222945823d59a1a29, 768:ygR1o6BtjtT630V3UHrdmiQt6kUMukRl7Fx61FWeZSmB1v0jvDAHW:zAU63Bgb7FKWewmT0rDAHW,"656530.bin.TMP", Linux executable (ELF), 50272 bytes, -, -
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.sh4", e40ad9f3198f585c86fe37dff5f5607a, f4cfc6fcdc37c4827e82bdd049dad8a863eb874a, b9c123a806a1886a63f0ea922366538af5a9b6c73705f430fb3fd951d7287ce9, 768:czXr0wef/EFgxMvTCF1QjjkMIQi1zk85CMoBuKACzACfB1v:cvJo/EmMmulmk85QBfpzACfT,"656529.bin.TMP", Linux executable (ELF), 46140 bytes, -, -
2020-10-05, "elf", "http://45.14.224.46/bins/nigga.x86", 64196eecac594191461a5af4da0c9dc7, 9b1a39c45de5708bfd1eee086708b4b52b05579f, c7734261d56f4960adae9f2bab3e0fb9320b3bf652e3222235890e366e51f23e, 768:CQIJLxhkRdcQuI2xXhg+avIC9rmy39HI1h+tlLPPQpg:CbJLxhkRZYxXWW+tlL3Qpg,"656534.bin.TMP", Linux executable (ELF), 46288 bytes, -, -
2020-10-06, "_656527.exe.bin", -, e2494a396b53968777892dc165e2bb48, 0354006160fdab506e5292cd74c104ab1e044ed5, 88a47bd66f02c6c6765d1fab7ffa88397a22fd6b4e78c4f2d11396b7f81ef2f1, 3072:3uAkxRzDw8mqApRuCvW6OUxdDpod2FYjyPUogPbeGEaIt2H7Z+b:GXApRuGW6OUxN58yMbPb5E6V+,"_656527.exe.bin", Windows executable (MZ), 167936 bytes, nh:046523bc9e3a808c6376ab704b040003, mh:0d85b6010855deb37811ee2ed33918e5
2020-10-06, "_656790.exe.bin", -, 371ac4fa63377a32cf00a3c6bf749945, 49417566f2ff5270a163d7dbb6ce0ad11ab5d74e, edb314807dc0430614222dfafbaa74a173519a1db71934f2b26130f2c1aba0bf, 6144:z+ANMJAkR/H4MIIHyWgaqRn79Uf8Wjs+Jym9B9HRuv5ubn:qa0Ak6MIIS9BUW+Jy+V6y,"_656790.exe.bin", Windows executable (MZ), 244125 bytes, nh:cee692a76ce16df85b287f7b2b5a6786, -
2020-10-06, "_657402.exe.bin", -, 6804e961357c28a30168d706c578d36c, beff63a2e3cecdfb5a445ef11abe66975fb764ae, c58976715e3603c78b81f8bd019ab6acbdf21854c8a3f8e699820422d8c693c1, 6144:oFq8ml2VLTvThz+X+RxLLT/MmI9m8KnLaxrBw9zJ/6OaaADDFnb0VDm:oMw1+UxL23K+9K1JSOaHFW6,"_657402.exe.bin", Windows executable (MZ), 244125 bytes, nh:4cc8d9f3b5106eac0f96d61fa3aebdbb, -
