# Generated 2021-01-22 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-22, "bashlite elf gafgyt", "http://209.141.60.176/x-8.6-.Sakura", 77f2b33f7ea052b6e91adfc4d3c28735, 42ea76ba7cf24e068fce528951dd2945a738992a, d693970728233a199ca34f3b14af9a448b954aad4f1cbfa4b3ec388905b7eec5, 1536:W7uJtxNeVE8zV7aDlvhE1hmkJ0S36W6bWjK39yPXfH0mA+KWOXFseaZYxe:4SsVEeVMlpmXJ0O6WpjKNifUm/KWOXFE,"973605.bin.TMP", Linux executable (ELF), 94679 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/bxdlmi", d98522dfac51ab4849472b4ce22a2c88, 2843c7081672ee4c0d41870e3b6394a30a22b2dd, 94c495a984a0d2e19f9ce1095f469f54218aa4f10cbb38a022eb2e8ed06d2077, 3072:YKTsi9UX5pgd4kCSBA3uak/FaNUQOmOT0cDz2+hQSLX:Yb6dC0aNhOmOT0cDzfhQSLX,"973547.bin.TMP", Linux executable (ELF), 99017 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/eoxmkb", c34a6f615f73841f3999eccd8fba06b9, 1d2bcbe71353990efda0fe1aa6b2c298f7b69db9, 456bc7113db616730a62f09ed9859122714240b0c92795e501e61032b65d4f06, 1536:MtiOnrbDJFUUUQ5e8qU9/ePcYR3a5ajr4SkzjImFQltMUm1m9IT0cDzPe+hQSLX:MtLn3UUUQ5e8qeePBRQajr9sQm1mOT0e,"973538.bin.TMP", Linux executable (ELF), 96201 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/ghpmuy", 8c7607b5c6854354fb737b152f87a0b8, 4ead824bd7d61703f8f169aed079ffe80e5fc3ca, 46610607c37a1a2fad87d73fdee24dc27c180816a0f0de79f5d98891afb59d42, 3072:9eZuXGAvb53sxsZIWhq3mqA0YzmvZQNl5:9eKGAvb9sxMIgq3mqA0YzmvZQNl5,"973536.bin.TMP", Linux executable (ELF), 112553 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/lqlakm", 95d8b1faeeec09fef666ece97b3c0fcd, cb5248e974765537abfd53b1f1520b6ce2f7a94b, 6bb01fcd6c5759ed83b1a984d05211abf7b35c017ed34983f73dc0c43fe5a223, 1536:ffqAXUkKkB0JvQGBKJ/pSmUgg31lCEiCTcFLvmI4A0Yhfz+fQNg5:qAjlB0BcJTUgrEiMgvmJA0Yhr+fQNg5,"973546.bin.TMP", Linux executable (ELF), 107221 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/nxftvi", 1d9a7688a568d8017e935faa33ad2144, ab0db1afb86dd19207365eda64938c584ee7109b, e71388460be2e83bd971a5eea2fc2fde56bbabd208874e084041afbba4689da0, 1536:lkuwXyuSzQMaN95Ht3B8tpVmyctt3lthMMxtRBm94AEYv0Pz+vQIk65:4XyqMaNP1B+cXx/7RBmqAEYv0b+vQ365,"973548.bin.TMP", Linux executable (ELF), 126131 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/qokcon", ce38b6a50c526d4efbcfea4b22962ff1, 90862a221cd0fb128ca6280492d4a0e26a6f6819, 6e6ff9759b5c623b32db56cc3bb0fb3ee5cd19155376fe3a4f6c8469856650f6, 3072:rEg/iT21sIZauRp8sAWSyJsgCQkmqA0Yzmb+vQNd5:r+T2rZauRpSyJAHmqA0YzmivQNd5,"973544.bin.TMP", Linux executable (ELF), 118840 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/rlrtqe", cb992ef25a2d1637200738582d7e006b, 042ac07c5a74408ab6c0edc191d5f99f4fc78100, f95ce80263920371ba10d88e74538fa4ff9334af239842225c5d8ee33fb00c3d, 3072:/zBWQSQIjuLllxiLwy7QwmTrZH/JXJh+cxVcqn2fem3GEDHXpzPrQW/iXIs0/8ry:lFeC+NJhcq1mksQQuhaI7A1a5,"973549.bin.TMP", Linux executable (ELF), 128193 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/rysypg", cb6a391fa8cdc8d829774dd0a6516108, d143592e17bc18e3c69903f6e48107326e52ecb9, 7cde3cbc0977eb1a9216d4609fa8017047b6ba4955020f0c43abe30f73998f91, 3072:FxWIW6HLVbVSdQnl/ubSYwSmlRdqzFOVKKlH5:FxWIW2NVSGthSmlRdqzFOQKlH5,"973541.bin.TMP", Linux executable (ELF), 149743 bytes, -, -
2021-01-22, "bashlite elf gafgyt", "http://46.101.131.123/uybnji", 628dad0a1ec3f56ac65fcb99b41edf65, 2de1c34dbae194fd6c7c1f8002d647e75ec2c356, c7dd129f78c75fbfac615192cc863ef440249411788199b8cd4b0aa96eb41148, 3072:XYlQzWbGLauloHkNQ+5+tIt2ryjaNbjmj9LqqcePeQocH2eEAMVYYj9vRehI7+LW:p7gAahJa9OeUsJeieO2vtmtQAksaR6+,"973545.bin.TMP", Linux executable (ELF), 142441 bytes, -, -
