# Generated 2021-01-12 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-12, "doc emotet", "http://wagnerbandeira.com.br/wp-admin/70hEzt62Bii0gBzEJ/", 185d892ac5e2888a18e465743773e8cb, 4659cd09c1d7d4a72ff68aa7017f4d757b3e9eba, 4f37808e991f902711133f01bb94352b2e3ca4893d79e5970426949c8fc7bc88, 3072:u9ufstRUUKSns8T00JSHUgteMJ8qMD7gIz:u9ufsfgIf0pLIz,"955720.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 161379 bytes, -, -
2021-01-12, "doc emotet", "http://www.achutamanasa.com/media/jKSLHIcLhpJ4D8q64FQmm7J/", 185d892ac5e2888a18e465743773e8cb, 4659cd09c1d7d4a72ff68aa7017f4d757b3e9eba, 4f37808e991f902711133f01bb94352b2e3ca4893d79e5970426949c8fc7bc88, 3072:u9ufstRUUKSns8T00JSHUgteMJ8qMD7gIz:u9ufsfgIf0pLIz,"955635.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 161379 bytes, -, -
2021-01-12, "doc emotet", "http://www.stmarouns.nsw.edu.au/paypal/sCEbAADIKittcJeww2O12FWBMXDxs2IJcWVekbkiAcF4kTf0F4ngVcZZ01FCa7eiyT/", 44ecbc752f3e0d79fb82bd639920a5c7, bfa909c04b3c28c56061492faa04fee3c41c0557, 473be24c31a196370f07078e057c2a02475604a900bac4afa15e998af344718b, 3072:u9ufstRUUKSns8T00JSHUgteMJ8qMD7gR+:u9ufsfgIf0pLR+,"956001.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 162733 bytes, -, -
2021-01-12, "doc emotet", "http://www.toplevel.com.br/medico/RuFF8m0jqCTqU81JIEynpDQgNvyD9JbSYNPS04w833jj9JcAdfZ/", 185d892ac5e2888a18e465743773e8cb, 4659cd09c1d7d4a72ff68aa7017f4d757b3e9eba, 4f37808e991f902711133f01bb94352b2e3ca4893d79e5970426949c8fc7bc88, 3072:u9ufstRUUKSns8T00JSHUgteMJ8qMD7gIz:u9ufsfgIf0pLIz,"955755.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 161379 bytes, -, -
2021-01-12, "doc emotet", "https://archersrocksafaris.co.za/kaspersky-india-6fouf/v1rIjpF4R26YF899KdP2JW0nNKKlWZ4mbxsLcvWYYY2YTP9VaWBaEAijmDQ5O3/", 0b222deab15494a5db96d8ac100b2964, e451782929915bfbce74babccff9e3def02a7224, 78b6c6004c73cb75c2314f98328f9cd2050429ead191392a8f30ea9fe4fa1eb5, 3072:u9ufstRUUKSns8T00JSHUgteMJ8qMD7gZd:u9ufsfgIf0pLZd,"955626.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 161073 bytes, -, -
2021-01-12, "doc emotet", "https://confinementxxx.com:443/have-a-ogtn/BbU1zz40LtzharekOxNx2C1J6Hdj7ZHwc7zTvk4tH/", 077ace8e34f81f13b25982b07de82922, 8e81934fc53a1451f125b1217652a076cda54c7b, b142fa1e2d0996a6e33f8ee0ae3d42f87ecd62b3c86a1a0535b0cba6f4ae28d0, 3072:u9ufstRUUKSns8T00JSHUgteMJ8qMD7gXJ:u9ufsfgIf0pLXJ,"956117.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 161185 bytes, -, -
2021-01-12, "doc", "http://mitfersorpresas.cl/wp-admin/MrUDJ8L9FZ72rITXsjzfd5mXa8ogE44C/", 077ace8e34f81f13b25982b07de82922, 8e81934fc53a1451f125b1217652a076cda54c7b, b142fa1e2d0996a6e33f8ee0ae3d42f87ecd62b3c86a1a0535b0cba6f4ae28d0, 3072:u9ufstRUUKSns8T00JSHUgteMJ8qMD7gXJ:u9ufsfgIf0pLXJ,"956106.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 161185 bytes, -, -
2021-01-12, "doc", "https://brany-profimar.sk/g/8plrj6ossBkAVYT3PpMHXO32WNW2g9GmNO/", 077ace8e34f81f13b25982b07de82922, 8e81934fc53a1451f125b1217652a076cda54c7b, b142fa1e2d0996a6e33f8ee0ae3d42f87ecd62b3c86a1a0535b0cba6f4ae28d0, 3072:u9ufstRUUKSns8T00JSHUgteMJ8qMD7gXJ:u9ufsfgIf0pLXJ,"956076.bin.TMP", MSI or Microsoft Office Legacy (DOC PPT XLS), 161185 bytes, -, -
2021-01-12, "Dridex", "http://conetica.com.mx/nsoo0p0.zip", 500382ea80b1d31915b96951fa045622, 944b65fee4a598068ebbf866f2dd5d0180aa5da3, 74e0dc7793597e1c8db973e89d12376ad164ce3cb04d630325fd146e6ea35174, 6144:WO040SSrnmrwc4oU2FmrEaoGAC+Y5H2V3B918juwUX:WO02Srnh0qEJC+Y218jdU,"954709.bin.TMP", Windows executable (MZ), 305152 bytes, nh:fd9a7f2de34fa6e7dd081e86e6af614e, -
2021-01-12, "Dridex", "http://infotech.news/k4fe4cay.zip", 500382ea80b1d31915b96951fa045622, 944b65fee4a598068ebbf866f2dd5d0180aa5da3, 74e0dc7793597e1c8db973e89d12376ad164ce3cb04d630325fd146e6ea35174, 6144:WO040SSrnmrwc4oU2FmrEaoGAC+Y5H2V3B918juwUX:WO02Srnh0qEJC+Y218jdU,"954732.bin.TMP", Windows executable (MZ), 305152 bytes, nh:fd9a7f2de34fa6e7dd081e86e6af614e, -
