# Generated 2021-01-31 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-31, "elf", "http://194.15.36.249/d/xd.arm", 4ce2f05a27317d9b8d4714a5686204f7, 01c38041a04c76e1a6d9bee7ef582eafcf47f62f, babfb92c3837b6f5755f0be5911dcabc7ebb43124b97fac46ff2c9a29c99f025, 768:neaRLnMZ9cgcxPkciObQWC+7azG8YPrOs3Uoz7:n9KJQkcislB8YPrzz7,"985351.bin.TMP", Linux executable (ELF), 29936 bytes, -, -
2021-01-31, "elf", "http://194.15.36.249/d/xd.arm5", 1554b47dc632837153dd86db151b29c1, 2e6d9512dd61f90e24c2c21b7361bb440b5dfbcf, 82ca292c74c04b8e87d9611bd860ae979eaf797d48891e0ff2f36c4c14df73bc, 768:FK/7BdJZz2ZP+EajKLohMgwqTTsss3UozYn:FC7BnZz2ob2/gSpzw,"985352.bin.TMP", Linux executable (ELF), 26268 bytes, -, -
2021-01-31, "elf", "http://194.15.36.249/d/xd.arm6", 80f1b22c5547654ac0dfa39b29a6e9e1, 42fe032138553036b470f0d7f6badcd40a393145, 0ad26ad98ec4f0d9bac2690b56bece217a9ebd380b8b808c70c533c7cc1c7ddd, 768:/96r/HH0Ql+GqOe2Oha6yWD6OdpL2KbJeKnstED99q3UELCO:14PH0Ql3qOe2WJySdoKbJHnaLV,"985358.bin.TMP", Linux executable (ELF), 34476 bytes, -, -
2021-01-31, "elf", "http://194.15.36.249/d/xd.arm7", e17c85074df7d277fd70dab82a189b4c, 56a06e581d0e59902fd5b14fecf7ab964fe97e7a, 6a36c88f7d5e9561af5a3ec19df6a27109754a9f36261ca8d8dd397cd0690009, 768:6AWkn5pJ7ZgXHMo45I7ypHb6LTODrMqXJvbB7F1TQkYfjsnw9q3UELSOs8qMLPVY:6sn5pJ7ZWkpkS8QbhFhHLvV+osZ,"985357.bin.TMP", Linux executable (ELF), 53616 bytes, -, -
2021-01-31, "elf", "http://194.15.36.249/d/xd.m68k", 4d8b5f02ce8f66c73e4934820e044f05, 65bb8808f0cb1a0698d5fd950190cc5c26fe30b6, bea09e5f4d21cf1885a3b51d76801d5ed5586be5ac0bfe398a971faeecf6445f, 768:3uPj1BlPxyKFtXxcqfqpcAGiajC21UCqrPwqLWO2TCmhPol7gSu9+f1prN4nm0ek:+LXtFnqaAGiajCEqVLf2Y7gSyg1ppW11,"985360.bin.TMP", Linux executable (ELF), 52820 bytes, -, -
2021-01-31, "elf", "http://194.15.36.249/d/xd.mips", 128239764b3e37fd250dbaf04b994fa6, 9d8a843432396e53c931a81e0396af5899c9f85f, 94011fa460157e4d0c401e77190b1416ba71c4cbdab961d7beb706d5a441ea16, 768:WPMFPu1mI0GwEurl57TCfvvl2B5yfAJgGlzDpbuR1JF:EII0ourl574V2TDVJur,"985354.bin.TMP", Linux executable (ELF), 30832 bytes, -, -
2021-01-31, "elf", "http://194.15.36.249/d/xd.mpsl", 3dfc82d87aae097382ec905b1bf3c8a2, 82ad91233c3668af50e66403aaec655b8b884289, 700f675340300db1ebf6e5d30382cd803f1e7d998d1e329651b044cb4370c382, 768:M4JlYBuDo6erp03CeIpLuoxfEZBZ4HxYJu8D6u2+WI:M0KBuGrp4CexZBZIvW6/c,"985359.bin.TMP", Linux executable (ELF), 31984 bytes, -, -
2021-01-31, "elf", "http://194.15.36.249/d/xd.ppc", 453ffb6c6b71631bfba57769c375a1f7, 718447bf1cc911eab394766dfef15bc6e0293c9b, 080bdfc08638df3e147077f66f506e46abde6c4947a1ea804a51d74d2ecab76c, 768:ULXZeDk1u1ip7bNhgufhzMqEt9l3kLdr64uVcqgw09x:Mkr1g7JhvfhzMqC3kJ64u+qgw09x,"985353.bin.TMP", Linux executable (ELF), 28248 bytes, -, -
2021-01-31, "elf", "http://194.15.36.249/d/xd.sh4", c0170cd0a78fa97c9232c13f08e88ead, 9ed78c0e104e0cada096ee6c959f57f18ece0bcb, fa640ab4890bc6ece65b642860684e2170042c06e62800b8e82135adcdad888c, 1536:7aK/iivQhuniwt4gVuNosja1Rpeycfs3QtLok1cY3CJZa:7rqiBiOVia1RGf+Kn1cY33,"985356.bin.TMP", Linux executable (ELF), 64348 bytes, -, -
2021-01-31, "elf", "http://194.15.36.249/d/xd.x86", d844a8619313056fded44faba31f4467, 3768278f49ac57fcd6c59a604f7e50c564a32cbe, ce6f77c7e145f2d5030ea54345a5fb0456f23af9d01e501940dbe103b34e443a, 768:J0iH8FHtmpb0eJ7LI8GqRZLYbj+gQvQrMHFbdsNs3Dm8RztxJqM:JfHwHtmtvJ7ScMyQMHFH1Rztb,"985355.bin.TMP", Linux executable (ELF), 29896 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.arm", b208460c01c8bfda604ddcc90255dde8, 4596355348e83766be62ae7e283a9a51647e1248, f9e9dd59693abfbf62577ffcdd48d7175ff16d9e64206e8f33956688c874668e, 768:R3nEczUZzYHTg13Je1t0zYRx0v6zJpbLA57MQHiLwCVy/Jx+5H8hG1rmCd/574y6:ZEFZyTg61tsYJLA54JeZWnxCBA,"985200.bin.TMP", Linux executable (ELF), 63948 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.arm5", e3e2bb5a116ede2bfd4a67247f9c2866, 00e8cc043ba24647808685a22322bbfe96bb6047, 5856c4663405b06dfef3111a3a9f2cd0c60150e2581408184f5bafb98d27e6f1, 768:zHnEczUZv4tZy6hQfyjXI8CMRxYVsx/DeiZvspz1Y3W7wCVy/Jx+5H8hG1rmCd/m:rEFZEZyjyj48NCiZvsphYceZWTMWCBA,"985198.bin.TMP", Linux executable (ELF), 63948 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.arm6", d8490fbcd946b57817976836fa68b6e1, 95186c0391ec0d29ffff44358e2d49a404728771, 7952402f8c9b76c8787fee46cc196f717efea51f6211acd3b1805cfc384ee7af, 1536:FNnYwmy6+c1jEWS16iT3rtqtli/NkCzVL9D11K7AyCcsI2i+GSdTL88a:IwuEEKbtb1hL9D3K7aGYTL88,"985197.bin.TMP", Linux executable (ELF), 75056 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.arm7", 1ccaefe32a1fc0100c0e884d1a33e246, 9119c69c1bf72245ae0edb04d7a5e92ea57a3a58, 30eeb65811c54a796918661c23edf3afaee4c1f42912bf9970f48442367d0450, 3072:53Auz6OTbehLh+BElUCpI3SQeTz+U0IXuGYM/9gY457m:53AuzrTCh6CpI3SPTQIXu5M/9gY457m,"985201.bin.TMP", Linux executable (ELF), 138499 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.m68k", 42258cf9d0c5667c35f8f1314e6c8aac, 8f17e1fbb21580e7d21e650e90bdd447679a32c5, 9a9b9d9314b96c823b9741262ff6ad7d5d9e4145a24d6248f5d514ea671e743d, 1536:soMomWmHv11dPBEMURJq487HONbg1pG8QOEawj0GKLUKQf8T:srw+4qeupGJFjsVQk,"985202.bin.TMP", Linux executable (ELF), 61576 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.mips", b733abed17a72fbf260063dc32187c99, 563a03deb7d5f19847cf25a0db5cfcc03a042c4a, 369acfe7003a664fda5beeba1eda5b8005605b3791fbb7ee1bc3f08a2eebb9c6, 1536:im2yFrszc6u0vTJ2VdKXrE1nHkiRZKyLXPjbjc:IyFrau07cVSE1nHkiRZKyL/j/c,"985206.bin.TMP", Linux executable (ELF), 84120 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.mpsl", dd8a050b39d0c6df5d7f4ac7900c149c, 9b190994cee231754a9c474357849b8b43ea0133, 7672d24d8cb6c00511e42fe430fcfe1cfbb0a17d02d47b325d41a6c191927532, 1536:K0XSygcxUwLZ3JPzTTyT+ex/QZIt0uR5:5XSygqs/QK,"985204.bin.TMP", Linux executable (ELF), 84120 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.ppc", f49768ad1c04e896ab4a52889044ac6b, 5aea6ba1d3627f8828feb9b554726bedd9903e25, 09f312ceeee851b796e0f0362c0861dced41c6f1345d17ef2c46c4f730e9df41, 768:W6J6a5X+lR1+XDRJL7bPzRWmA4DZeF6PIentQOYz9buiW2yH5GdSzdTVHkcIJpE5:KlmDHUmAKZS6Pkzh5X+TOcIk6y,"985203.bin.TMP", Linux executable (ELF), 59720 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.sh4", bd234490c1bb8d2064f6a0209c99ad0a, 8f0fd98cb1c65c259fe752e7bb95cf079f641b49, cf6ee647294fb8eafb3f1b2ce038c2bab2cbad37003e587afff82d542bb7f7e3, 1536:J/At4MX2Ma+Kb7gv7n2ppfs3Gd4o+kwfzPC3h2:JYtN7d0I7n2Tf+A4o+kwfzPF,"985205.bin.TMP", Linux executable (ELF), 59644 bytes, -, -
2021-01-31, "elf", "http://206.189.206.152/uranium/uranium.x86", ac92b6322ee39ee1f596d5942d38be08, 291ad4e9cd2273fc51c40e5fe5e7ffc6a39ce572, dcf434d275b190baf2080519406b9a21208f34909441939c4c6b74364a4798d2, 1536:7H/2+OX+hs4pIq/smSWQ/TC+wt33b3zo7:z/2+++BWmSWQ/TrQ337E7,"985199.bin.TMP", Linux executable (ELF), 58448 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/arc", 92f384b0f0c42bed05a648fe83af54cc, fa85cfbd46b1a66a701b107fe5c628ff42feb41d, b2f9f59ba5fe2228d42093b794e731330e786394ea262b792cb63bee7bbd02f4, 1536:9t8fZxo1HYHfkbcf3gajejJJNqHxOEgp/73uwYhbKxJgn0H6/LWV:ofZxo1HYHfTQ9JNqcXp/1YhbKxJgbq,"984809.bin.TMP", Linux executable (ELF), 132376 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/arm", fe8d8ee377eea33b8bf2eb567349cb54, a162f34e3e87a8208e66c10047aa8a8b491d81eb, ab89683b9161112c90345ecfbec9bb59e2fa682b62e68ff8fb6aae55f26bcf6a, 1536:QieZOe/PjamKV/k1kpeNh3cpESfirwwLq9bQNrcpNpLpwP0H:QieZwR4sffirwcuqcp/pw,"984806.bin.TMP", Linux executable (ELF), 83256 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/arm5", 026bf6f106ba8470b97f9e96cf85044c, 7988583da964570a0f405f5fb8e6ecf061643c38, fc9b5b8fa81712b3f17c13069a7e15df261c3f4aad7bd8afb77f1e4645ecda9a, 1536:q4MJTPmGZgalr3z+yylyaTPRFhUvCEtj+CU9bQqTpPQhp0H:5MJTVYUv7jzwhTp4h,"984805.bin.TMP", Linux executable (ELF), 71648 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/arm6", e04fed83fbf606c58b8ec3d85eea8998, a858119bc833af39d517dab8f6c67b580b1c68e9, 6c0824cbcdbe934297929405b7c874066c27944190ce778c19be1c74c43f8df3, 1536:F9Nnzajv+AwN+62NO7wyrhoQMSquvtD1WuWVvPktqqqWQAKniMeiqbF3Dr2I0H:F2bUY62o73rGlSq0tcVeqqaEbF3Dr2,"984812.bin.TMP", Linux executable (ELF), 91440 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/arm7", c8b02e56948a77fad93a947ff3c72fed, 6b11d82e235d143666eb3b4947e07703073724f7, 9ff99bb8112784b06edd0fa4867df39dc3a462e2b36c6dfb6c7d2ac80aa26049, 3072:Hgocp91472+UrTidnNdFr8zirSbfs/CLp0h3NlpLXzT4M/9M4qD+SS8:AoB72+UfipNdxMjbfs/CLChbhXzMM/9Q,"984813.bin.TMP", Linux executable (ELF), 153984 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/i586", 20003d6f3c5926d579fd808945f9f4c8, 6c27ce9b0dd6f6dce86e29aecdcbb0bf23b6d30c, 6d919ec83333195e5522cd3f243ad863945a535dd919504836e5a9acfd0c94ea, 1536:mKTocwuQqCuLpyYhGbYbwrZ6VXckGD6bmEUHDH9bTpSThbQnCay1m3HGQMtLMMMs:XzwuQqC7YwbY8rZ6VXckm6ihHDB+polW,"984814.bin.TMP", Linux executable (ELF), 71568 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/i686", fd8044709d4ae5aa146c184b9798fb6d, 2a47d760cae338c10e55f437587079d6fcf62ca9, 14558c6263256cb1e80f68c9f7a0c9d8551c86c5093e0394d917d904423ada1b, 1536:CCbKZoe76EC8LYhjsMG3DIBRnfnBBFbzK3zRCU1RezTF+gsOfRi3H:CCu16ECoYhQ3DIBRnfnBBxzKDIYYF+gb,"984810.bin.TMP", Linux executable (ELF), 83024 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/m68k", 93f3cf24eb41e1397abc16014a3d35aa, 16d158d7bed686805b2092fb216adc295ebea177, d0fb9625eb436c451e25b41d50443cf26b75d4be1afd24d225e05c52aed98766, 1536:i9XwO7R4HbPWmVjBGQX4leND4l87H4zhZl9w2yC23Hp:hLWmVjkQBNkOoZbw/z,"985452.bin.TMP", Linux executable (ELF), 79044 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/mips", 052d8ea7470c6f08faded1ed58e08444, c26a43a2075f4258ed7b89cd11790e8a52e5e42a, a2a70c50e9741919601c2d509a47353db772665cd8502c7bdc009cbd7939740f, 1536:OvqnVpN2j0HoruJ+niJkAYVyIIu1fO8xZ/sHwB/JRW6VR94IiHW0H93J:SGVptoru+i6RZflLRW6VR94IqH,"984804.bin.TMP", Linux executable (ELF), 103052 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/mipsel", 4099f884b0145d78a46738989282c585, a6b037e1f435b5c1b9357f04e384f8df9e5d9e14, 7e0e3867607d74366b099ae74a638c3fb9618d6df9be0275ef22a1a3b05fd921, 1536:O35ofJkzTmgIS84oS9uQRn2Poe6DkKTikZK+9J/0HdXL:O35ofJkzTmgI/eusLik,"984807.bin.TMP", Linux executable (ELF), 106012 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/ppc", 4b9c2d82e160d021d3a5fed54d4f04d7, b88846861131819c6f76a875c6d0b909b4acea98, 70898a3273704b6a9ee4c73bc1e5d011637e9aecfaa25c36667d36dcd050d34d, 1536:AokWJN77EhoAN4y4R99HM3VV6saB/ulqZO0HaU:Ao9599H/sOZSU,"985453.bin.TMP", Linux executable (ELF), 76596 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/sh4", 32f9477202920c7692f6c437ee71dfba, 6b949f57f00c1caa4c2b30002011fa32f73c881c, a426006e4efe1fcb8d8920c290efc1ee941041697a80df08622f07402b56156f, 1536:L/O2XtCauP0d4+0GIXLso5va3PZmevCkC0H:L2Ksv0u+0Gms+a/Zmev,"984808.bin.TMP", Linux executable (ELF), 72176 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/spc", 87f087a13485b1d926a6fd55cfd2cb7f, 94a090b48b00669d28a5231bdf1d9272e03081f8, 9c4bc2f7e103e1c59b358c72dc6106062df2c11aea99db92663ec4f381020025, 1536:bJwB/SKotDqx6SKoaWVDOSx25o8j44nGVihTyrHGH:6rzx2Se4FMrH,"985454.bin.TMP", Linux executable (ELF), 83264 bytes, -, -
2021-01-31, "elf", "http://45.130.138.17/x86_64", 706e032ce866d4ffb3e3f506ba7e9eb2, 973be91b3913c16e1c21a09b818e2e6a15fb5814, f74f8af1800eebce1f63661c2245456c9f833bf1190818f7e3e514d14e5aa11f, 1536:wxNzgDnKTDWMjrG9Iowmbw3ONyCB54m9/7szCXrwxLBAA79J93H:wx+KTDW2rqIO8exB54mJ7szCXr0BA0,"984811.bin.TMP", Linux executable (ELF), 78656 bytes, -, -
2021-01-31, "exe Formbook opendir", "https://raybals.com/raybals/bvsd/bvsd.exe", 3adae286b1688adb95794b29d21f6ca0, d6bbfa8e7f765d807096aedab7ea28ecbd1e11ca, ee2156519aef9988f7b0e5a2932bf378d3605f66128fcadf7023e6ba24b4557f, 24576:CfHaa/149JWBbMkwTFVk6ozZgfbouoFCHcpUOy:C/aa/G9JWBbMrnk6oz2TroFCHI,"985044.bin.TMP", Windows executable (MZ), 1086976 bytes, nh:d331d4fa6054ebe12da848ccb6197248, mh:7f07a23d1ad321bb84c15c372bdae753
2021-01-31, "exe Formbook opendir", "https://raybals.com/raybals/gwfa/gwfa.exe", a8417cfd71637c7371986737cff269cf, 62764e915771688218d9e93d139a85f8d983e2b8, ed806d196c4c8573b7044e2a1f98f01527947c6e95e97a6e9b061ede6ec75664, 24576:X6K1gYUGwBjk5ThBxvAl+rKr002V0i3qUqPVI:X6ogYUnBw5Th/wr20i6B,"985048.bin.TMP", Windows executable (MZ), 794624 bytes, nh:112177979244b5220cb97e4cf42d2f23, mh:56c05cef896e9a3b8878a17843bd018f
2021-01-31, "exe Formbook", "http://23.227.207.253/naki/vbc.exe", 791ce15cdab0f8a3af0de04479eeca0b, 203b07ee264cb7ac09d093e7782797c9ca37f8cb, 6145b68ae5c12af9d0dbbed80f15e68f073fb86dc4fc6343677c49fc7570a7d7, 6144:bBiFG2WmywufxSDMquEnMbOShH+IMEo6Y1w75uux2fxqQ0e6hLz4lYoSiFb7Plvv:,"985042.bin.TMP", Windows executable (MZ), 1509888 bytes, nh:0ddd586b6f77f09e701eb59d81a8f8f8, -
2021-01-31, "exe njRAT opendir rat RemcosRAT", "http://andaluciabeach.net/image/network.exe", b435d3782a898407600abf7d6995cc66, 7eece547746df4e0bf108350a21af5ed68b29515, 101bfb7953ee39065a917a37670cc43836cf5c0a938082f4038515efebddcc04, 6144:iT5Zn0lH55fOUxVcMpYiJdC9XtKdtQX5k/gndogQLH:iT5ZnwHfNbxppcgtO6gVY,"985051.bin.TMP", Windows executable (MZ), 666624 bytes, nh:50e48df3ac48bb19793770130cb9b761, mh:4f92c4aa6650d7448c339d97f9206b05
2021-01-31, "exe opendir", "http://193.239.147.32/obbbb.exe", 52f0b3acdd40bc050d4c0cdac026cf73, 8dc6c28e7feea53284b52ba61118fc184495d580, d4da1dbb4382e87cd8ebd988f32a39fc8e615e5232bfc1b948e3b60d31dac5bb, 6144:0EUvtlH55fOUxVcMpgpNNuXeAgUGgV7RrPSagwj:0EUvjHfNbxpgpNMGg95PSQ,"985039.bin.TMP", Windows executable (MZ), 1032192 bytes, nh:b3ca05da6d6abc32637d298b24049b22, mh:0edddd258a22f285f0e032769472b771
2021-01-31, "exe opendir", "http://193.239.147.32/OBBBOP.exe", 06f4d22f42e1d2406d5dd25c69aa92ac, d6edb777865ddf280c6337d488445d139df6f25c, 8dcbe6a1627356b6707223af14e34eaf6b9fde0c9781707b2fb6de4c9b12a742, 12288:vjCeTc2vwqwXBPpRJPlfpNMGg95PSFrJ:bCeTZbs13BlRSsr,"985031.bin.TMP", Windows executable (MZ), 783872 bytes, nh:bb5a773f76b8ce39787bcc719b04742a, mh:a2640551422b72ec27faa0eae20d283c
2021-01-31, "exe opendir", "http://193.239.147.32/pppp.exe", b88c6ae98565520b5abf0dbc67522f1d, 55b114f5d066c3feff1e0d10bb23a546726578a9, af069fb2ac61ab43e6bd444354fbad23c82983efcc91af1dc645ed46b2a5c7b6, 6144:j7N/fQxAelH55fOUxVcMphpNNuXeAgUGgV7RrPS:XN/fQxAqHfNbxphpNMGg95PS,"985037.bin.TMP", Windows executable (MZ), 653312 bytes, nh:b8736c596f1ead516d8e8c1bb97554f8, mh:4abb3dcdd55a97697cfb0c10bb6abac5
2021-01-31, "exe opendir", "http://193.239.147.32/sppp.exe", b12bb3159a945df7c5944b6f4192516d, 4f3d6756a1cd7d9c1c230420c6aff13ddc4dee24, fcad0e5581e86e8359e00997302140bbaa37fed5240db35291404c9b16a9fc0f, 12288:SPepg0nwqwXBPpRJPlS+LPAmpb8yDyWAZz2xacprJ:Rpg0Ts13BlSAJV8yTuzZir,"985036.bin.TMP", Windows executable (MZ), 795136 bytes, nh:4c2f45f2e841f2da1f835128f8d624f4, mh:4e08af7607e813a3e258f4b6127d8b5c
2021-01-31, "exe opendir", "https://raybals.com/raybals/bvsd/bvsd1.exe", dcf21ca46349ce36f7866c24f1f60f0f, fafe9c2c410aed31084c98892ad05237f709de81, 961b36bb78d27b3432fae08e5c4272fe295b5e24e832c6f6bf1ec3cf87057dab, 24576:8qCNNE4AhDRkBvGd9a656mWIzLhQ0zJ68VQWWR1:DCLE4eDqB4a6imkq2,"985050.bin.TMP", Windows executable (MZ), 1179024 bytes, nh:9857ff0bceb57f7443509206938299fb, mh:56d2c4cba55c41dea187d499fe7da925
2021-01-31, "exe opendir", "https://raybals.com/raybals/gwfa/gwfa1.exe", dcf21ca46349ce36f7866c24f1f60f0f, fafe9c2c410aed31084c98892ad05237f709de81, 961b36bb78d27b3432fae08e5c4272fe295b5e24e832c6f6bf1ec3cf87057dab, 24576:8qCNNE4AhDRkBvGd9a656mWIzLhQ0zJ68VQWWR1:DCLE4eDqB4a6imkq2,"985049.bin.TMP", Windows executable (MZ), 1179024 bytes, nh:9857ff0bceb57f7443509206938299fb, mh:56d2c4cba55c41dea187d499fe7da925
