# Generated 2021-01-31 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2021-01-30, "elf", "http://13.233.142.184:59895/slaves/hinatasocute.x86", 65fc870334f4d07f72e646883b1d60e7, 9b62011699d8a74d965f053edc1881e0f3227be5, f485e350b2f777bdb19f2aa740f8b1399609a7f25143df62751974c0cf6195d1, 1536:mX23TSwlS4keBfrtOVqlQzYnnmKBPK3EyYEWoHnt05SFEio:1jSwY4keBfrtOCQsnnFOaENN05Q3,"984587.bin.TMP", Linux executable (ELF), 66320 bytes, -, -
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.arm", 14f77199f3961faf97344647b99e7a3b, eecc4945760705280f1732c04b6950cd8580a66a, 049f945cc60ef5f40249489c043ac56620d0126276838e27d8ab52cf3e9ba8ee, 1536:GbtexU5L9XouIRhb96pUQzXtwavaJ3V8OHxouJeZWDFI8EM:GbtexU0r8QCKw2Fbt,"984641.bin.TMP", Linux executable (ELF), 71864 bytes, -, -
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.arm5", cff6831f048ad444a02c18186e43fda7, 3aa7c8ad231c40ba290874cdade70c870deeb59d, c1071d7da98fac1cdf67c8579191551d4006624d8eec8fd62ae2e3a31ef6239f, 1536:dOxGfyRWiPLacGXWzM9l6yTzpl84ETjpk19y20Yvck6YceZWGzDkMH:dOxkyRWiPkjX0QckVcwLBH,"984637.bin.TMP", Linux executable (ELF), 62680 bytes, -, -
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.arm6", 2f79144b7c8a3f43036864258e2cc78d, 43c2899b0facd588da8a58372807094dd5dfa3be, 2f251b7c9a3a129526ceb70196ad84de7f07376c82a2b264e76af912fa02fc62, 1536:29n7/xkRBFg3yFhk20WtEu+1F4YPjaduBcPYO9mrsplDKZUlQBKXAVan1X+F8JyM:gJTyHknWt/+L4qjmugd9mrsplDKZUlQa,"984638.bin.TMP", Linux executable (ELF), 83072 bytes, -, -
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.arm7", 281ad9f8d7ad4474f08e8d3b35021335, 43e47299c68c72de641797d4d6fba61498b71dd5, 4b46adcd88982b6baa02c5c05ac228f66560b2f5d95632c6a85e57c40515f567, 3072:walgM69pe0QmlTvIUdt9mrsplDKZUQQBKXAVanXX+F8JyvSPhLZ85iBMR6yoC1QH:walgM69pe0QmlTvI8t9mrsplDKZUQQBC,"984645.bin.TMP", Linux executable (ELF), 145189 bytes, -, -
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.m68k", 3790616b3d3fbebb652ed69f6c29f162, 7c77b4492224e9c12ff560bf5978cbba1ac1290b, ced927fdd2260a98b4fee7095b0ca4ed9441518a3db8a218e0fa106a2ff357fa, 768:m8uzcCOmYr4cIGh6HHaihHHeIXXdauZj0CGeWxQyexbtM7edUo+f1prA4fUcNXQj:m8qcCcrtIC6HHaiFu/ei7edJg1pc4MQU,"984639.bin.TMP", Linux executable (ELF), 54336 bytes, -, -
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.mips", 43b50c679d2b94b9caa6ba8de3281761, 80b22bc17361e207d71ab20d485ee4a9586604c7, f1c1d3532760f1a7e24f8ac56a0cbc3ce7e0db3d50923af2bfea1b3368422680, 1536:1YRdsnDd6C6gb/ZVyDYjMbwqZ9f0vfwW9ufY1C+KBtyRirfXDOiO/3J:CHsnD8/gb/zyDv9f0HD9FC+KBtyR6/DI,"984642.bin.TMP", Linux executable (ELF), 89332 bytes, -, -
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.mpsl", 25589e89291974548c117d1187ec680a, b2a446dfe6d1310d3d15b0ebb62e79d966deee4b, 2f0c877e738a1255bad528e9f2e24157fc141ec248f0706030f31c2a5eca0684, 1536:NYCYxrXP40ODyPwHRQ9PlzTRfyToNoZqpi:qCYxrKDy46N+,"984644.bin.TMP", Linux executable (ELF), 92100 bytes, -, -
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.ppc", 82b24fcec33da625ab7f02582ff86209, e4075b12631418dd8b3e0bc3a4fab41d8e8db99e, a20aeb3f1633bc23e839baf01f53bb66f90179d86f48091cf14963102246bbf2, 768:Sr5Eg6nb5usRVQq8WTUqYhcBJcIGsllk5M9Bv6GG4TlW2c5sjgi+DDiZ/vABbsVf:2KbpuqJlzk5xGpJgbDOZ/vAuN,"984640.bin.TMP", Linux executable (ELF), 66468 bytes, -, -
2021-01-30, "elf", "http://68.183.33.96/lmaoWTF/loligang.sh4", 2ad8fe2fcda3797b1f7947a3f2786da6, 0de593e590702d4d85ca53477cab84ed43399b78, 76912b2edbbfb4550011d9364315380f8179a4a6de4c8fe900ec78be87eefa25, 1536:K/ue90IlCalyZyuhx+vACs2U/SO/Sfs3zO/QSwtPlCXOi:KGejAGyZyuhxaU/Sjf+iYdtPlQ,"984643.bin.TMP", Linux executable (ELF), 66368 bytes, -, -
