# Generated 2020-12-08 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-12-07, "elf", "http://193.239.147.245/uranium/uranium.mips", ea5ee0585b1800181234e4b46fd331d8, 6a1f668fd773b5142da41bc7506e8f0c065eb342, bfef9d6c181ee66903ca65ce936d7c8f11cf123b333e0489a1df391a42828fcf, 1536:Mm2uFrszc6u0vTJ2VdKXrE1nHkiRZKyLXPje6Q:auFrau07cVSE1nHkiRZKyL/jDQ,"897373.bin.TMP", Linux executable (ELF), 84120 bytes, -, -
2020-12-07, "elf", "http://193.239.147.245/uranium/uranium.mpsl", 1180b0089f9700b64936ed550f49aa00, d7774e0e4c69cb32cfa73d91f5fb65efd9f7ca2c, 3b734070ad7708db3a00a1b77d3c6b129bb6f331a9ef337c5f1d586ea3d449f2, 1536:jl06ygcxUwLZ3JPzTTyT+ex/QZIt0uRt:ju6ygqs/QK,"897372.bin.TMP", Linux executable (ELF), 84120 bytes, -, -
2020-12-07, "elf", "http://193.239.147.245/uranium/uranium.ppc", 3265cfae5f1ba9dc6c90f9ff28376f9f, 8d90eacf3d47d69e52569661d20a1361738e75dd, f4a3bc43807b90a7fe33109a0f0b8b440dc73962a3031215d9fbbc830a6287bc, 768:whs2qUie/o04ZTjRBAbmRJD4IPbDWmA4DZeF6nI7ntQ2Ab9buiW2yH5GdSzdTVHh:ZjRjlumAKZS6nBbh5X+TOcIkSy,"897374.bin.TMP", Linux executable (ELF), 59720 bytes, -, -
2020-12-07, "elf", "http://193.239.147.245/uranium/uranium.sh4", 4b9628944d8a12900297a4e111f80c85, 29917e63d75b2c4aa86588e6fe56e519dd963b23, 411893021e2ad4d231a34df241c811b51b041abda6b5a6f4bfbf1224eb026bf4, 1536:Aa+/dt4MX25HWagv7m2Cpfs3Gd4o+kwfzPC332:An1tNW217m2Yf+A4o+kwfzP/,"897369.bin.TMP", Linux executable (ELF), 59644 bytes, -, -
2020-12-07, "elf", "http://193.239.147.245/uranium/uranium.x86", 569b7253c456f0302dac10dc4b27d6fe, f941f904016cbf5f23714ad1ac60405f110ebcae, 1a861fee4a3730add2014144ca59cf0763ca7d0b1550c7ed3d49bee77efc6f06, 1536:fn/f+xz+/s4pIq/bBSWQ/TC+wt33b3zo:fn/f+h+7BBSWQ/TrQ337E,"897370.bin.TMP", Linux executable (ELF), 58448 bytes, -, -
2020-12-07, "elf", "http://98.159.110.44/8080", c893c87aa5c9163840c3db34abbb521e, b34a77af4e55dcd17f7e756ee1475534bafdb840, 30b223acd70f478f2d8096f9429ead555bcc11114b177ae50362e7375444b85b, 12288:FBXOvdwV1/n/dQFhWlH/c1dHo4h9L+zNZrrST6yF8EEP4UlUuTh1AG:FBXmkN/+Fhu/Qo4h9L+zNNSBVEBl/91h,"897342.bin.TMP", Linux executable (ELF), 625867 bytes, -, -
2020-12-08, "_898908.exe.bin", -, bae6c135c5915be22f22db98898f2b27, 927a0ab5513ba9259507494286ad3dab7eb11589, 378f5d8f8cd4abd04349fbaa747c50b957e5f8ec613a695edbcd4f53d2cdec63, 1536:OHHslWcz2c8pjmZvDiEeCmTgJd83neKrIMtSXTGZ9rH9tehuj:OH1cz2c8ZmZm52d83RoU7HR,"_898908.exe.bin", Windows executable (MZ), 97411 bytes, nh:e91ea9c9fc133c55fa5fc0168c64fdb4, -
2020-12-08, "AgentTesla exe GuLoader", "http://107.155.162.25/win/datidens.exe", 113f340c8049c76290abc7397fcf7cb0, d2ae0c5ebd570e92fb9586d3c4684041d33d95b8, 9f4adee79af79887cba0a55e0c15c6aff70bc8682afffe664984d5308a3d144e, 768:nhNqpzgg7tExIB75Oc8aJvDUDWJTmT2jcBoY+Y/mJxyvGbb5D:hmgayIBgaFDUDWJaa9Yx0b5D,"899548.bin.TMP", Windows executable (MZ), 69632 bytes, rh:8854d3ec095906a7589b343a26214183, mh:6633fdd1db19d22a568585b9a6a59707
2020-12-08, "AgentTesla exe opendir", "http://192.3.152.237/doc/coded.exe", 5a12214a8bb116dd4f4057d58ab104b6, 5b5cdaf6402758240117018995245cca1543f716, 2f66b3c4f826fc68cd50c12c25a68cba612a1ec18132eea575a68aa2cf4ebc6c, 24576:PcbST0sDd8Euei65DWO1sZAMIqxEcwSRxU00Gc:k+T0Ad8l656OKNHmSRxU0,"898236.bin.TMP", Windows executable (MZ), 1006080 bytes, nh:3215caa8f65869a61fcb3704b1086ce3, mh:66a10bfd7477cbc633cbfb9d164adbb3
2020-12-08, "AgentTesla exe opendir", "http://192.3.152.237/doc/OG.exe", 52c1c0a68da545fd829d2b5ed7c2b4f4, bf3b7e3067b60d9963d33583e9df2f4f6fcc4da3, 2268b02851b88a3dc6aea375ec1a36b9ceca5def60ca62e2f47d22db566e1e7a, 12288:QsDIFHMSfl4/qM7dTlCrrvgUV6vHkDDZVPplTS/hetlErSkBa1zZfA5iCwj6ei1X:QsV1s3VzPCeMRa9ZfAICwh64G,"899400.bin.TMP", Windows executable (MZ), 1045504 bytes, nh:f0bb7fe58fe296ab7179dcae0fa16a4b, mh:b0d06c59ee369003dd6d68376303866d
