# Generated 2020-12-09 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-12-08, "exe", "http://192.119.111.83/fp.exe", 54a5643d84bfd5ac8bfd297a5a063368, 83936f4e27a1b5610d0438efb40ff31e62d8e3c4, 50589127250c689565adf1dd57ab0bb19be202246514fe8b63eeed6de681336f, 24576:YjYyKlto5mu+oOmrMEjZG4kprf8YWuditZBq/AIEHxuY5VZOJor3YMIED5:Y8ytRMEj4prfBWuYGAIEHxDPOJemO,"900490.bin.TMP", Windows executable (MZ), 1933824 bytes, nh:5aa3abf57772a2066d0fe9660961af87, -
2020-12-08, "exe", "http://thunderco-tw.com/para/hackstup39.exe", 0ad4a9e4bc62ae6d4d349c2ad395768e, b243c2ba3eb48ac89b0d14290f98d51d1ae20ce1, ec8127c4b1dae8a286793e1c3a85a0f793203fe3e1142a2f57117ff5308a86e2, 768:RwpEBz4a0+oheMbgT3GZBgMxCjgpg2Q8V+UsgtRlwQXs:mGBz4a0HBbgT3GZBhCkpD9TR,"900488.bin.TMP", Windows executable (MZ), 45056 bytes, nh:83dceb7a13cc7f2f4fb519b7b2493e33, mh:c33fe9579ee18e455f9d37d6711a9bc0
2020-12-08, "exe", "https://cdn.discordapp.com/attachments/769713843571523595/781301687800430642/doc.exe", 601331dc6c4ec0b860ce91a666f98aca, 8ceebd8915f9017cad6351f01a4a2d5ae601f14a, ce621c0052a0190a69bdd18dc36069bde933a06a9f98f760a5bebc60206f4642, 12288:kpisztvQlqtaHf69O1v7ZjaIVlEIF5zPvEVH8RpX40JiwdnIuXUQaTX6aNyLm:mi2tvhIHf69O97Zh0O5LvE+,"900520.bin.TMP", Windows executable (MZ), 758272 bytes, nh:14a4937cab5f41d30345039f2190e9ea, mh:bbf3c4460a5278e4e4f0237e96769ff9
2020-12-08, "exe", "https://cdn.discordapp.com/attachments/781875899602567178/782710315993268224/putty.exe", 374fb48a959a96ce92ae0e4346763293, ce9cba115e6efff3bf100335f04da05ffff82b9d, f2d2638afb528c7476c9ee8e83ddb20e686b0b05f53f2f966fd9eb962427f8aa, 24576:1oJBu2XV04jnHW8VwBYcOa3sM6zlYzLhQ0zJ68VQWWRWqMZ:Su4jHmScOcsvWkq3Z,"900494.bin.TMP", Windows executable (MZ), 1096080 bytes, nh:8daa2a01ecd2caef9dcdcbfa73470902, mh:56d2c4cba55c41dea187d499fe7da925
2020-12-08, "exe", "https://dosha.bg/kapa2/ferrapos/gudda/ferrapos/abm/iola.exe", 25038e26b46c53cef5513d229ff1f041, 9a8b2be1f45b4d3d5a9a772ce45a01caa0a1b6e2, 0be19eeb307f0835e153ed072f584e42ce7df4076213b0356e4e8a1a4d6b8a51, 98304:SvPFs+H+UwZs/94erkiJOdFshcbp5Ox9FhFqsvxw+:ys+Hku6erkigsQOxrSsJw+,"900497.bin.TMP", Windows executable (MZ), 4336240 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-12-08, "shellscript", "http://185.244.39.248/AngelofDeathbins.sh", b0a61a33ca4d0e0019345453cbf1f6d4, 92c6ac5147a0d98585e40befb45b76bbc0165192, 5f13ce7cc398ece575aa3d11332638fe7e5d489e6678796fed1ecff41b845a52, 12:q0FkV0FO0Fec43fX0F3eekX0Fxk0FuX0Fp7K1FZ0FREX0F+0FkV8po0Fi0O0FU:vk+Lec4k3aszusxK+REs75JiGU,"900010.bin.TMP", Unix shell script (.sh), 1528 bytes, -, -
2020-12-08, "shellscript", "http://34.218.234.175:59440/ISIS.sh", 96634b17f145e982fe15a0246626b2ab, c553930a1340aa8401b31ec9cb4c446a3fd0ce4b, a24cde2650d287d93a21fe64113b0918c1c8ab8998f2124cfeeadc7ad512f3d4, 48:vKth4t/b6aLaMals4HdHp4H/3fc9opQfEIja176fQ92lkXbA/Fi1szbs2lkXbedR:vKth4t/OaLaMalsedpe/fc9opQfEIja0,"900557.bin.TMP", Unix shell script (.sh), 2085 bytes, -, -
2020-12-09, "_900411.exe.bin", -, c5fce714071cde49ff91ecdc174624ad, 262a66288f0ae65c4e816a0fcede51a8c3dd5535, f38e54bc53a8be2792b86f3628fa62719e74f3c341788a111e5c212e49f50ac6, 3072:SiDzT3zzqj9tECVaVHM0bYqKTCsR8sFDGQxWeY32d4uTd07:SQbzzqj9tECVa9hbHYHXN5MeT4um7,"_900411.exe.bin", Windows executable (MZ), 147451 bytes, nh:d31dc032c8fcfca7a71cb4c8f03997e9, mh:c6be8d285483691d2eaa648dbeba94e4
2020-12-09, "_900411.hex2.bin", -, b9344100fd140dffcb7e84f9cdc08163, 8f14fe3c5549e6489fec9e6b3e70f01940821820, 271996626d2c036372d843e240203d27067a97c5f138b68ddf1024a9c1c15bf1, 3072:Jrkb55Zq/L8ZZOgXEi1GPI36NQguXEyXj2uan2xgh5:Jrkb5DU8ZZOYEi1GPI3yQXpTFa2W,"_900411.hex2.bin", Best guess: Hex encoded executable, 295201 bytes, -, -
2020-12-09, "_900884.p2.exe.bin", -, fc760b391d4a8fb346981efb5ef968f4, 57279df6972a8d848932ccc73dac80d4e5dfea0e, 13fda90a11a3a78194278c8e002bd8a68765e57bfb64d0d08ba0d64a8c1fef52, 6144:0K2J10qdSlEc39HGW9c0N0CoKAqsaAI1tbIMStVYtYGovOQE0T:0KFRryCoKAqzPSte+lY0T,"_900884.p2.exe.bin", Windows executable (MZ), 357376 bytes, nh:c4af71b31c9ab51febb6281bc3e68667, mh:ad117ad3c83d262f9b92df47f20a7d37
