# Generated 2020-12-27 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/armv4l", 429ab14d59f30efe2eb7dcf1e2397e5a, 72745f582fa58c70cd7eb545f4bc496369203cdc, 98e6349f8acd36abc3a0e98a8800e618ceee791b7e3b7c6f2fc5ff3c1c476341, 3072:6jVlyaL5JCrIpv04s1bttiEiTmP46aQyfPlfKsNb:yoCJCN4s1bHemP46aQyfPlfKsNb,"942593.bin.TMP", Linux executable (ELF), 129898 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/armv5l", 7cf473c59b067a4e672e42a69f9cbc04, 354f8c4e738ad7c886331e155a4aa364f08598a9, 0a569532a6ea8d110250cebe648d3b8e695edc46ddb91cb6a8784f3b046ca986, 3072:4jDy/+mh1vtbPIKazbpcUPium7/L7QsvmGfIiNb:mOJ1vxfazbywm7/L7QsvmGfIiNb,"942602.bin.TMP", Linux executable (ELF), 125008 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/armv6l", 8b1bf24a7aedb9e9c22f6e7c3e74dee3, 7248fbd5b51f4d4aed96ef12a50983459fac8c70, a448e18dd0de2c944d4a078b8adb16cfc55e1193e8e3f8a38ea5b4df41e1bb68, 3072:Cv/WwsLgaq353qHiCOvhOplqkDQHbeskmhxQwoVSUNu:KPLaq351hOplqkLskmhxQwoVSUNu,"942600.bin.TMP", Linux executable (ELF), 143019 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/i586", 4550e02597284a1dd0cba73be728b62c, 78deab56c0ef9d297772c50bfd0d0ed9ae834157, 9d30044207f48fe0eb4b631198e1ae402d204fffa54a29e852f984a567d845c6, 3072:VK1z13U6HzHoXRtmTUhQogXEmmFVcqq0GnDZT:VK7DDeKlogXEmmFVcqq0GnDZT,"942594.bin.TMP", Linux executable (ELF), 100042 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/i686", 86b19c4b7e8fc020e488556d08779ae3, 0f764117591703cd179830b4388a9f88b8960e07, d4be7a67c490b9014e37f4a0b67f62fc2a190641797940f2f0fdf450e0fbb73f, 3072:wW8FUmgujld6Mkxm6AJ+4f7HmmFVcqq0GnDZT:wJFv4Lm6AJ+4f7HmmFVcqq0GnDZT,"942599.bin.TMP", Linux executable (ELF), 104138 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/m68k", d74882a0799956a9229b811f82c0096a, 7a0ebb7723b46998962a3b2320a5acbb4aa3aa41, 04813f86644eead2d4b224cfd6909c6f10936d8093456d717a56f1c46e149c1c, 3072:Ydg8GXIDvGIk1MG8+mjypvZGoamm/QcuLB1niDNb:YuFX0GIk1MHyphDamm/QcuLB1niDNb,"942591.bin.TMP", Linux executable (ELF), 118090 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/mips", 0e6845183580c1b32b772e5480c97e03, 692d54cb31702f95328a332c21286953a23ecc83, 5dc9bbade261012e05059138b4d8899af9323202451cc13a711b21b55c2f1329, 3072:JW6dm9tS1aRGQdK76t/zCKI5mrThPaLEnvPrNb:c6IG+LCbmrThPaLEnvPrNb,"942596.bin.TMP", Linux executable (ELF), 155428 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/mipsel", 039808f408108ab3fdd87c575752f8d2, fee7bf48c4f2805182e68e26eab11e673ee18548, 577ffa3855f63bac87bca4763a1f4616ae4dd4ff1653535637b098e9bb059d80, 3072:dgZc9h1jlnLA2PiXYeyCc7VNMVGuo9mrThPaLEnvPrNb:dd7lnLA2PiIeyZ7VWDo9mrThPaLEnvP5,"942601.bin.TMP", Linux executable (ELF), 155476 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/powerpc", 036b5be543857e9e67410f5f10ed1df8, 0f38fb46137e380e318e3ee2fdc13aa3032f1cdb, 335ab846c9ad5f51c24bf3db13d3ed52b26c09dcd587218a5b53ddd15ee45576, 3072:pC/4rdZHsXsZwwR9TNk5mm/QcuLmHniPNb:pCwrvHwsZwY9TOmm/QcuLmHniPNb,"942604.bin.TMP", Linux executable (ELF), 116786 bytes, -, -
2020-12-26, "bashlite elf gafgyt", "http://52.247.220.158/sh4", 96fc94420f927f6448235f4eb28603ea, ecc102171a3a11c1c42fb9b845492c9b38d42c98, d94d43622bdc7f2b83a39a304f91a4ae0183243429b405d671592143a9864244, 3072:MDVLSItJP+Xsp4JlN3HFjmH1cuEgvniuN/:MDV+ItJH2l3HFjmH1cuEgvniuN/,"942598.bin.TMP", Linux executable (ELF), 112633 bytes, -, -
