# Generated 2020-08-13 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-08-13, "AZORult exe opendir", "http://massdisp.com/imgs/temp/predgfrt.exe", 59468fe4bc16a49fa1d7291365d4e658, f75d1cc6b09677c000a0ae178fd66daa796826f7, 1a74c0f00eaafc71570dbbbedb04005c9ffa726be5d25a9662b084fe6cf330a0, 12288:nmS1zkkNtheQAWyecFnlW8FyPVkJ1Y6BWzWA:zGQAqcVlW8FdJ1Y6B,"431818.bin.TMP", Windows executable (MZ), 573952 bytes, nh:bce31945f1060df8405f811ff225e25f, mh:cd31797b38016ccb3908a3bdf7934a23
2020-08-13, "bot", "http://163.172.161.31/bot.pl", 3154a07e8b1e4edb647ffe485319da11, 97c4243879441240c756a146d90f9292a6582a61, 2339abcb78c46bf6ccdfce533b163d724bffbf8906dde3531706b1ffb301f143, 384:g6Ioq47z2YEERHBL+B4z6JdfB7SevtTJJJ2JJJ2efveSPN788T:VIoq47z2YEMHBL+7XDPiZ3,"431614.bin.TMP", Unix shell script (.sh), 32866 bytes, -, -
2020-08-13, "DDoS Bot elf mirai", "http://194.15.36.78/bins/m68k", f2118dae0b2827264885dfefa69fb31e, 603a9088f67ae7acfd916d45e6b3ab125613f295, d498788001aafb36a5905ee9c75c5774048469aa70b2b13912db888e03efbf70, 1536:rXfyXGAYmS4I3eSGScdlg5YkOqGzwAOEpoO8+39IrIOUay0JgXrP5:rXr3ZOlg5Ykka+V0G75,"431983.bin.TMP", Linux executable (ELF), 73080 bytes, -, -
2020-08-13, "DDoS Bot elf mirai", "http://194.87.138.147/bins/arm", 8c4982e395d23d678184bb8f7f48d4c9, adca27706c03414d328c29ba13847df17ed39e78, f84c4c90cdc45b4a464b11c1f7e38fa82421d409e6558125ad544197a1cff6e7, 768:F5qlN0LmSM8deiaSH4eGIY4A2CcsdbraTxDQtTPNQXuZZt3c3Ux:u8VMhx0Gt3wTxDkPJZZ9D,"431991.bin.TMP", Linux executable (ELF), 32900 bytes, -, -
2020-08-13, "DDoS Bot elf mirai", "http://194.87.138.147/bins/arm5", d98901656411c76afa4ff56c41fd8045, 0ef06e9c0421fbb36c20ded1250f6c6a1c534697, 0bf3a5da0972388d8ee04142f755f00f0e6091ef55f688f22cf4ee11425b7b1e, 768:8kKXIHg7i2Tdcg4a0XS0mI2atay9LHt3UR8:8yHwTp4a0Cdid,"431998.bin.TMP", Linux executable (ELF), 29336 bytes, -, -
2020-08-13, "DDoS Bot elf mirai", "http://194.87.138.147/bins/mips", 7ac579d0c6126737d21c4d4c9438d39d, e06ec098274308cf2f293970de2acbf61db2de47, 3dd79f0b982039489ad3a06a347a8991f987340325e5f122bcbe912bbfa3f435, 768:mo6GunMQ62Nsrz1T8jJoL2xU6Rx3hjJgGlzDpUYsE:mo6GunMQKrz1SJhtVqY7,"431999.bin.TMP", Linux executable (ELF), 27268 bytes, -, -
2020-08-13, "DDoS Bot elf mirai", "http://194.87.138.147/bins/mpsl", c31b2d332aee0e0505045dddd61ea689, 831bc7f3d3fd9438e59d64314c669bcf36ca5298, 161db2d963611ce5025e7be3c2afd4cfeef982ac5cd92c5a57c8fd005a7b58f3, 768:xSzUR7p0LAOFt64WsTYzO18fSZP54knenlTkZdATUHsOb/KL2WM0:wzUBpyD643czOcSvNnenssQKV,"432000.bin.TMP", Linux executable (ELF), 36280 bytes, -, -
2020-08-13, "DDoS Bot elf mirai", "http://194.87.138.147/bins/x86", ab7d9b390ce6016ec8f075dbbcfcf4b6, 42863055bdaa55a81bbbd2ac963b064276e4cfa2, 34a6c4a81be6e0e522416790af7f337561cfb0c080a63c58db0bd7afb1ef39fd, 768:LMfSJPo1YqYPAH0zeQHPNwr+U8t+tI0Qu+uaTPLIrdsT0nbcuyD7UVyqd:kKPNPAHobHPNeZ8sK5u3abLI3nouy8sG,"432001.bin.TMP", Linux executable (ELF), 33664 bytes, -, -
2020-08-13, "DDoS Bot elf mirai", "http://amenascan.duckdns.org/0xxx0xxxasdajshdsajhkgdja/m3th.arm", cd59e780dfefc57be8d42fd44f98ae37, 76142b58692b20007da3cd686c72769e1b4b0b8d, 016773acec18bc4df0931caaf4103026976581b2ae072a86f171992e73a4397b, 768:dFSvIQKYD70imSYXL79ADTbwR+UMUj0Wgnnc4P2eNqRKZD61psPw4k13UN:voVD70iFC7KP+MtWgnnvfZDJwM,"431408.bin.TMP", Linux executable (ELF), 47144 bytes, -, -
2020-08-13, "ddos elf mirai", "http://amenascan.duckdns.org/0xxx0xxxasdajshdsajhkgdja/m3th.arm5", d3ae3e7009617f8da7a4bba4ef3f0ff5, 2e7ed8302f7f7197f0e6db62b242a5b1fa7e5ca0, ca797d79b302f9e2913c0bcf0fb36c5aed6f91bd0500c03f873fa98102bcb091, 768:Caa81hUONZnGYq1xZv7mYVn7Ntr0zqljWzVrBmMuC13UR9:CpSGp7ddLlKrYCw,"431985.bin.TMP", Linux executable (ELF), 43016 bytes, -, -
