# Generated 2020-06-12 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-06-12, "bashlite elf gafgyt", "http://198.211.102.74/sh4", 431aee6ee1626febc607f2c03e7f4a74, 657f12ca40e3563c2ae8be57c0892c030512b8f1, e0476e952f530468e3c525f0b619eb53e1d8700852d2324dbdc9009cdabbef00, 3072:MDVLSItJP+Xsp4JlN3H42mH1cuEgv26uN/:MDV+ItJH2l3H42mH1cuEgv26uN/,"388502.bin.TMP", Linux executable (ELF), 112634 bytes, -, -
2020-06-12, "bashlite elf gafgyt", "http://198.211.102.74/sparc", 5810d7f057b377fee95b5244a7e6aa2c, 21313f4e75f2ada72dd19a69ed5bca0ef0c0a0d3, d942b535f398fdcd85181e0f3282f80f4638a3930346ecf11469d38652b2f80c, 3072:wsrp9xV+GZTZepNPhj+e3fSqPEa7Cxmm/QMurB12CGNb:SMQplVEnmm/QMurB12CGNb,"388510.bin.TMP", Linux executable (ELF), 129857 bytes, -, -
2020-06-12, "bashlite elf gafgyt", "http://198.211.102.74/x86", 55bfee5ac8e7522651f34f3ba0b08294, c24ed244d5ad1960102ed5a010a50869f9841407, d57da7dfd965d9ac44ba5746090c2427b3992f31f15d290a02511a01096381a8, 3072:kiry859a2ADJf9wHYqbgFFo8+HeAK+T1bm7FnVqfJXoebNb:T9a2aLqkrMFBm7FnVqfJXoebNb,"388512.bin.TMP", Linux executable (ELF), 116504 bytes, -, -
2020-06-12, "chil28 Trickbot", "https://basecovid.com/map.exe", dda70ed5f8e93b2456f593e8da46e464, 55b031294ff24919547cfcb4fd4f10a02902ce3b, 0f72c70fd281879e3d8d28676a8618a4022572ef353120c4dd3be200df50fdd5, 6144:/AKoMRbIln2XnoQ5pdOCyKhhK+JY9JflrPJGk:UQ5pddhhC9JlJ1,"388562.bin.TMP", Windows executable (MZ), 330240 bytes, rh:d305d7fcdc870fddda8cd917083cd540, -
2020-06-12, "DDoS Bot elf mirai", "http://45.84.196.58/bins/arm", 8a6dc1f53bff7e37b91ac79685cbb877, aa02b5e7937e85c32f95ea6b3de84cc6ae97544f, 81f780a9ef68cf356a3b5f6fc46fed196c6a28872b10bdcb7841ba80e46cb7a3, 768:V/9sim8yNqYw13owG3GNhFhv6pOtrn0S3Up:V//mpqrpHLFhzrnm,"388617.bin.TMP", Linux executable (ELF), 30756 bytes, -, -
2020-06-12, "DDoS Bot elf mirai", "http://45.84.196.58/bins/arm5", 27d6ab3b6dc673f9da8f097d1e0b88f7, 8235dddedb1f75e52d3cb3ceb6b1bc5859d4afb1, f5d5fc4232ce5bb08a0b26e6cfdc3233910fe29a61ae4674103f6d5fd28cb376, 384:gv4DK8kL69Mxg5hV5e3pqFXJlVkvfSbcNThCslQFSRg7FPlDWEA3PkLys1Iwium8:cssLrg50cblVbWTeIxEA8dXiu3UbD0,"388618.bin.TMP", Linux executable (ELF), 27148 bytes, -, -
2020-06-12, "DDoS Bot elf mirai", "http://45.84.196.58/bins/arm6", 78e704f7a8407f1667d967388e303fa8, 6ea33bff5a579c88c144e6f30ea583a17eb2e8be, 255e4ddaaa82967df5900e01cfb92b5dd0c1aa71ce2feb119f0ddd6002d1294a, 768:wdUIRDklx8B/CmuTd00HyVgNHZrj2UfpDl15x7XZSO8q3UIbo:gHRDUuBqmA00SmNHIYDT/7gi0,"388619.bin.TMP", Linux executable (ELF), 35392 bytes, -, -
2020-06-12, "DDoS Bot elf mirai", "http://45.84.196.58/bins/mips", 4067efaff00ef86982e0b74228501e8d, c99516a1a933f1dc9c39b6ad51fb764887bc257a, da8ab9fab1e45c565bb27171345dbee74fb296bf65987411f705ee70d8e58e43, 768:z0WX9BtYD5aneXNgfWt5GiiJgGlzDpUYs1:JBqD59d4Wt5GimVqYO,"388620.bin.TMP", Linux executable (ELF), 24772 bytes, -, -
2020-06-12, "DDoS Bot elf mirai", "http://45.84.196.58/bins/mpsl", 8d62643e53d8a289b440239c069ba1aa, ea31364c2fdb8f739b280bd2618249a458291a17, 21098f6c296742814be73f8a346b4204edce84cfda0e6a89ec0c960cad6be5b3, 768:ZkZc3B30uuTNA13Bedcxr/pSkxLi/E84r55Zvsa7WMk:Z6c39/keBeduRSkxm/E8efI,"388621.bin.TMP", Linux executable (ELF), 33680 bytes, -, -
2020-06-12, "DDoS Bot elf mirai", "http://45.84.196.58/bins/x86", fcfa79338c899e2c5766028db2c7ee82, 191bae23b217a03d56d55350a2da99be912ff4c0, 15b5db2fc9cbc22bc4e2672d38da8b9e42519ed2677ee54731bb6cd205a3614a, 768:m5+w3I4hpr1lP0mX19yZ2BKNlJYn7HPrHb6RwnbcuyD7Uiyqn:wv5h51lhX1942Y/g7vPxnouy8Zqn,"388622.bin.TMP", Linux executable (ELF), 30956 bytes, -, -
