# Generated 2020-06-20 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-06-19, "32-bit arm elf", "http://180.176.165.230:61968/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"398763.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-19, "32-bit arm elf", "http://186.179.219.86:44212/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"399044.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-19, "32-bit arm elf", "http://42.119.242.244:59426/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"397615.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-19, "32-bit arm elf", "http://75.74.7.227:6837/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"399450.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-19, "32-bit arm elf", "http://79.17.57.187:49295/.i", 9b6c3518a91d23ed77504b5416bfb5b3, 0a2d170abbf5031566377b01431e3b82d342630a, a04ac6d98ad989312783d4fe3456c53730b212c79a426fb215708b6c6daa3de3, 1536:87vbq1lGAXSEYQjbChaAU2yU23M51DjZgSQAvcYkFtZTjzBht5:8D+CAXFYQChaAUk5ljnQssL,"398889.bin.TMP", Linux executable (ELF), 80280 bytes, -, -
2020-06-19, "AgentTesla exe", "http://biz9holdings.com/INVOICE/84BlTtJn8s8QeIj.exe", 993f4284bcdf3dc8cbfee60954b61910, 56386ed1236b5f936121a5cd2b733a1fceedde24, 49f8a53df63b928f15cf73f136aa4da17d47456f15a875ec68f6441f0ab476db, 6144:4q/sUUmMzgtiAgeHpyiD+tw+Ij3Lw2nXh+5WsfugFKdMU+vDdcOeHZK3Q7pndHni:WmMzywiD+SLrn90F72y+dHBgfQe4c,"399060.bin.TMP", Windows executable (MZ), 434176 bytes, nh:0ac549ac002479d3b05059ca7f97b5ab, mh:9d02a13db8b10efdbf74e32265b2c695
2020-06-19, "AgentTesla exe", "https://dokivsem.com/lmage/znol5gxxtd2gytr.msi", 3108d539e45f8a66f4ab8b2c5e20497f, a514c5f3d637dd86af5d32ccf55bd7df2a3abec1, abbcbdace318afff0408188e4e1025ebc49c3157838066d775b5e70a5c8c2620, 12288:OE8tuSZEgn05KWKlYUqTTZUtN7CPhHvcx8fi2suDwY2iN:OE8tuPc9W9fTGv7CPlvTq2JcY1,"399077.bin.TMP", Microsoft MSI, 503808 bytes, -, -
2020-06-19, "AgentTesla exe", "https://strahovka-osago.com/coer/2031777055.jpg", 9ef64fc8a592b453fefff59aefa8de12, 55bb1eae63184e2dd7c72d7e4bfe16440d766040, 278560e6dfcd5f366cfe92cf4a3cb7b86beebb05b7a32774857881ec6b423af6, 12288:ApuLJpGjMEnKCt0/Dz5mfmnWbp2NeziXu6z3sxbwB:+uyQmt0/Dz5msWd826Yxw,"399031.bin.TMP", Windows executable (MZ), 455168 bytes, nh:14738a291e9ea2fd03c6e847976c87dc, mh:f362a3ea3d411cb94adf0e7a805080ae
2020-06-19, "AgentTesla exe", "https://strahovka-osago.com:443/coer/130561677.jpg", c9f218912128febc28be8151f2f97e29, 32516d2ce4a808ac7da9817faf6caaf43935d449, 260507c5490ea3272f9d11afc20323065a6ed5af06311c3b115ee91455b0b26b, 12288:lvuL4Py3JwEJtvDh3Ok4g89XjpPsmO8uYXsAJgo82:1uka5wEJ1F3Ok4bTsmOALgo8,"398013.bin.TMP", Windows executable (MZ), 447488 bytes, nh:8c2db7fa68704a334715e58c3bf4ff48, mh:bc9a1c871f0ecc4cfbf4071b8f8b3e14
2020-06-19, "AgentTesla exe", "https://strahovka-osago.com:443/coer/33026107.jpg", 35fb078a4b3f55896286c4a7f864ab69, 3a28c866eacff717036ef5e830803ac3250dc8ba, b01f93434cf1041a3ef125346398b66ae7b618252e3be12b7bd7d5fc033074e5, 12288:TuLxXqHh9qphd/l3HtYTvQllVl7aKDfh:TulKhG3l3ykllH7aKTh,"398012.bin.TMP", Windows executable (MZ), 454144 bytes, nh:b7c47ffa54a11a006a5cb86666f055a8, mh:e9672d5081d7cd7d43c07e8b73701573
