# Generated 2020-06-09 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-06-08, "apk  Cerberus", "http://www-saglikbakanligi.com/s1/Hediyeli-Uygulama.apk", 005a8145226f3d8fc6d126028c1ae28a, f4c6ffc16bd6069b62fb2705f0be34ea0cf6f760, d1d05279b0d83cf2d7f793f799ba52f932e2d40bbc63449bf767fff51d5a8f77, 24576:84OKa1tPbsOSBvxe/BTSAWwfRTo5CEJcM4cJM7tSb0lh9MZe3X2/z35FQ7YibISm:FOn9SBvxYwAd5MAEJx4c+C4ngAB9WJ5T,"383242.bin.TMP", PKZipped file (Office .JAR .WAR), 1553655 bytes, -, -
2020-06-08, "apk ", "http://185.214.10.220/1/Officers_List.apk", 005e8de2974db8722073fa54e8b8d435, 5404c6969f89de872abedb59d6ec744b8465dc9f, 9c604f4d400c1c500e6ff231504d05235c242bf6580f49180196a534d50123c3, 12288:WR1nftCnBh88zHDrVF6gKvTLaD26C9XgqRCIlNE8Z6GvhZd:W3lCnBPzHVF6ZvnaDnG5Z5,"384162.bin.TMP", PKZipped file (Office .JAR .WAR), 827120 bytes, -, -
2020-06-08, "apk ", "http://awetrsdgbx.duckdns.org/ohlrvyz.apk", 9e78e08e78e90d762c67485aadebfb92, ce17adb21f68b9271d7e3a54ca3a438934a2fdf6, d70d2bbaffcd81f3d7b3c7be3e2af3affafcfe54035bc11361024c45ec26b02c, 6144:BaCOalTcEz72VgihkWrTp+iO+mBv4xyypVBOC6wYJSpx:BdLoEnJiDpux6pFkU,"383176.bin.TMP", PKZipped file (Office .JAR .WAR), 286622 bytes, -, -
2020-06-08, "apk ", "http://gasdfxsd33.duckdns.org/qmfinqpnyimml.apk", 9e78e08e78e90d762c67485aadebfb92, ce17adb21f68b9271d7e3a54ca3a438934a2fdf6, d70d2bbaffcd81f3d7b3c7be3e2af3affafcfe54035bc11361024c45ec26b02c, 6144:BaCOalTcEz72VgihkWrTp+iO+mBv4xyypVBOC6wYJSpx:BdLoEnJiDpux6pFkU,"383175.bin.TMP", PKZipped file (Office .JAR .WAR), 286622 bytes, -, -
2020-06-08, "apk ", "http://satterfieldbanks.com/client.apk", 2540e7bb3a51d49413507806efce60f4, 3f358581381369cd64881833a2abea93b4ad4459, ca92719b3c773c90cb1f6c7301507472dea999ebf0907264cb46fff11fc104a2, 12288:0Img8rslMF3AiHDrFP5D24qWLaD26C9XgqRCIlNE8Z6GvhZ9:gZrsleAiHFP5S4qOaDnG5Zx,"384159.bin.TMP", PKZipped file (Office .JAR .WAR), 827187 bytes, -, -
2020-06-08, "apk ", "http://satterfieldbanks.com/lovetap.apk", 8cf55975df26cfdec071d334b640c1b5, 9e7a0eb034abb39694ce2d258c5eb179ba0c9383, fc72981b3b3aa2b0f46359b59f4d194273903f1a460bd0a3476eac9d1f4382ba, 12288:AvsYQrslMF3AiHDrF7xnqMKSLaD26C9XgqRCIlNE8Z6GvhZk:A0xrsl2AiHF7xqMK6aDnG5ZQ,"384160.bin.TMP", PKZipped file (Office .JAR .WAR), 827163 bytes, -, -
2020-06-08, "apk ", "https://down8.xiazaidb.com/app/pingmuluzhishipin.apk", 54c84ce52fcc77b908fe92f056592c76, 6185757fb96823a8b63ef60410f0929fc1b2cf9e, 23a057e2bf09babfb85325254a375004b7bc68f4fba2211039cf609637178180, 196608:ONM1VZMuaTceyJnYrmldYFYz92EbIbbnoq48Za0SUUbcGlLf8dwB:O8VZMuac5XN2EsbbdU0SUUJyA,"383258.bin.TMP", PKZipped file (Office .JAR .WAR), 8295154 bytes, -, -
2020-06-08, "AsyncRAT exe", "http://c.top4top.io/p_147087hzx1.jpg", 621eb435811d65c5aeac56fd02972319, 5d21663771471bf0797fd7037a4c5e118b2511cc, 7f00f8a6b476e9e41cac1556f5691318a180786ac79b53f67567774a1a95f48f, 768:MqX3fbX3E9klOlSkOicvHk3eHlWMPbPgF0qe9wYpWdioTxDcZLjnYI6OCq2tYcFX:MjOOlSXvZH0ub4FrmQoZLd6O/KmVcl,"382917.bin.TMP", Windows executable (MZ), 47104 bytes, nh:941de91e414f1653cd954b796886cf12, mh:34b8e0eff2f0a5ff7167d12307cd26f4
2020-06-08, "AsyncRAT exe", "http://troygilletc.ug/ac.exe", 1f43b094b879bc60e19d43fb260dcf25, 249469f41c93ec75dc66dedf5363caaa68c09990, 7fbf44d89b57fd76422d196efd3fb6bd4684018765171711f5c70a9b99b0f372, 3072:xlijLwXJsbBwQpvpcfeZUZUZ0rMpd5mHsIAAjZ2Z0xcc:xcwXOqQBJKKRAHsIf,"383017.bin.TMP", Windows executable (MZ), 177152 bytes, nh:19534e8e8bacfef2654dbe4a241e2b05, mh:665da748000ca4a4336c4b9d94e57508
2020-06-08, "avaddon exe", "http://217.8.117.63/jpr.exe", c9ec0d9ff44f445ce5614cc87398b38d, 591ffe54bac2c50af61737a28749ff8435168182, 05af0cf40590aef24b28fa04c6b4998b7ab3b7f26e60c507adb84f3d837778f2, 24576:Cs6JmdFn5KLOCgHWcAvcrOcEsKfR9uA7rmFbbbbpccf:Cs6JY5KLOCyWcDUfRAA3mFbbbbpc4,"384170.bin.TMP", Windows executable (MZ), 1078784 bytes, rh:1f751e2aac4a31991712f656456c5442, -
2020-06-08, "AveMariaRAT exe opendir", "http://eurostudiescy.com/putttty/purchase.exe", 801ae74f80b4eb54dac11388669cbfc6, 5ae35230ef997c1de191001b051e472c5826971b, 14cb63082e077f1c9453e1bc17fcebd1277dfcd619f6ac00c1afd1951bff4a6e, 6144:Nz6gLbxkjhUEubNhslox2lEqOiLhkZQqKKS:JLlkNUEubNhslIFqpLSKN,"383238.bin.TMP", Windows executable (MZ), 227840 bytes, nh:2848d16c7820fb394cc13f6ef00a7e81, mh:b8b331dafe6b1406697c131f6f2fbda5
2020-06-08, "AveMariaRAT exe opendir", "http://eurostudiescy.com/putttty/PurchaseOrder.xlsx.exe", 801ae74f80b4eb54dac11388669cbfc6, 5ae35230ef997c1de191001b051e472c5826971b, 14cb63082e077f1c9453e1bc17fcebd1277dfcd619f6ac00c1afd1951bff4a6e, 6144:Nz6gLbxkjhUEubNhslox2lEqOiLhkZQqKKS:JLlkNUEubNhslIFqpLSKN,"383236.bin.TMP", Windows executable (MZ), 227840 bytes, nh:2848d16c7820fb394cc13f6ef00a7e81, mh:b8b331dafe6b1406697c131f6f2fbda5
2020-06-08, "AveMariaRAT exe", "http://5.196.207.55/file.exe", 5c56ff5e66c76645ec98d972e5896151, 02e5692fa022b2967df5f13edb7c96d23440a7b1, 1585a976d6f02fb64a61ae1342056bc5ac3dec2212d6a97fcbe4e024aeb5b29f, 12288:b34SK+eKtmz7nIdq32wx6B4Xil/C+QU7K3wDXJQto2GQ:sSfeT7IdqTx5XADQUlVQXF,"383248.bin.TMP", Windows executable (MZ), 790530 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "AveMariaRAT exe", "http://cloud-server-updater1.co.za/doc/officeupdate.exe", 982614977bf66e6e70ddebbd37c4f52d, 9a12bcd7c54e2fc3010f96ded9699778166344ff, a61099305f6346eb94d4cba3997f18a8592e11e923ac1a9a971d23622d2ee42a, 3072:cFNViyRiEj4UO+TBdw47hxs77222z48UPGIRsZ22i1NvkIb/6r8TVlu+g0pNLqIU:iiyMMTkBjqZJifjQe/1r2p,"383256.bin.TMP", Windows executable (MZ), 267776 bytes, rh:cc01643a834d8544fe531fa20b8897b4, -
2020-06-08, "AZORult exe", "http://abass.ir/datox/datox.exe", 989f3def3e31b0c2c24be77e3597314c, ace502a2ca2f27e4655c547bd3a61cdae6b1b562, b678ff252ac0d3abdb7c41ea08b7d9f7a5d0a2ba990431eee04f8c1a8adf9ccd, 12288:AEv8FVujUpVTWgThfJ614X5p/iYHI0Oq8M0oko8ZiFhDF8KSpTTj/Xhr6SjE4bb6:AEEbuQ9WmD1HITPTnXhrjnDP6,"382970.bin.TMP", Windows executable (MZ), 620032 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-06-08, "AZORult exe", "http://troygillet.ug/az1.exe", df9b552fde98686987a1d6f9880f9c21, c1a8f34f9b567ea8c2c818e8115f11d098ed5c35, ad18dd53e866024606997688a8ba559b119fb7418d30b38c90e182a991333c99, 1536:FysFY6TjMZk6IB1zOmEp0goKKH2VXk1aELNX5h1vud5CdqW:AxuQNmans1aEbh1vud5CdqW,"383020.bin.TMP", Windows executable (MZ), 81920 bytes, rh:a5138b73224dea26ec6a34442ad36142, mh:86def1581d1af6f1de062cd8bbae5def
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/armv4l", 6b727d4f0f764b9e66a58fd572383893, b7cd0d8eebdfa146d70b95cc58919e1db76b083e, a8b30d473c3d0a82039717b5b5f61f27cb636222d7ce9bff338201c37faeb679, 3072:6jVlyaL5JCrIpv04sfbttiEiTmP46aQyfPlfKsNb:yoCJCN4sfbHemP46aQyfPlfKsNb,"384121.bin.TMP", Linux executable (ELF), 129898 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/armv5l", e45267a4b84c98d29d376438a525212d, 367f4582f4f365b62f7b10385883a84720cec7f1, 7442cc57ae96d927009cd1a64c7839f07f07e055392f067133b05a05113075a0, 3072:4jDy/+mh1vtbPIKaFbpcUPium7/L7QsvmGfIiNb:mOJ1vxfaFbywm7/L7QsvmGfIiNb,"384111.bin.TMP", Linux executable (ELF), 125008 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/armv6l", 9d4e673ec3d9579092d9ccdd4a1af92f, 2b9dfdf5d313b05e4e76519d79fa38c8ccc42c59, 38c10713944d0b87054335b15a209c273dd067602e62a54358be409c8cc7b32e, 3072:Cv/WwsLgaq353qHiCOvhOprqkDQHbeskmhxQwoVSUNu:KPLaq351hOprqkLskmhxQwoVSUNu,"384084.bin.TMP", Linux executable (ELF), 143019 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/i586", b82c1d638cbac77c07fd0835775f0bd4, 08678057e891e3403f8bfd5e1c9ace0a898cb1ed, deb3c049c8fc90fedd9d99a34e01ed48bcc4bdeb902abe09c044a029de6b4071, 3072:VK1z13U6HzHoXRtmTUhQoglEmmFVcqq0GnDZT:VK7DDeKloglEmmFVcqq0GnDZT,"383959.bin.TMP", Linux executable (ELF), 100042 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/i686", d8ebee0d05ec149d53434f3ff004f900, 86da8c30ee535da1ff2f1bc8e7e6b6e96e5f66b7, 7aeb006bf3754e177324ad99739cf8f7d0c1291f9fc9977bbb2205ac783035ef, 3072:wW8FUmgujld6Mkxm6AJ+4fNHmmFVcqq0GnDZT:wJFv4Lm6AJ+4fNHmmFVcqq0GnDZT,"383937.bin.TMP", Linux executable (ELF), 104138 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/m68k", 91cbdf0041e0f986cc6569ca4720dfb6, f802a1d6154442e331aaa133b87bc123ddfc06aa, d5f41d782f0669372886c43d5bbac1a555d1243ee9e72408c76bf5de1dfe2116, 3072:Ydg8GXIDvGIk1MG8+mjypvZcoamm/QcuLB1niDNb:YuFX0GIk1MHyph9amm/QcuLB1niDNb,"384108.bin.TMP", Linux executable (ELF), 118090 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/mips", f2c2e781f2996818456455731c8c1a5e, 16f679b9e1d4df8441dbeab3c07caa7f4229ed28, 90136c5faad9e4c1d8013d3b37a77756b7d0edc9de312cc494c2c83372d06143, 3072:JW6dm9tS1aRGQdK76t/zCwI5mrThPaLEnvPrNb:c6IG+LClmrThPaLEnvPrNb,"384114.bin.TMP", Linux executable (ELF), 155428 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/mipsel", dd596dc1e863af5c84029ce5bf34f986, c282f2abf676677da963f656d53867ecdc32e6cb, e880fb6ac62cedea0a7260c9079c0f1060752b79c22c0f664e51b7560685ada3, 3072:dgZc9h1jlnLA2PiXYeyCc5VNMVGuo9mrThPaLEnvPrNb:dd7lnLA2PiIeyZ5VWDo9mrThPaLEnvP5,"384093.bin.TMP", Linux executable (ELF), 155476 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/powerpc", a3c5d4eadf8b197e4fbd05e1a6b70e6c, 5e48022226d802a8d93b098263c39ab367112d99, b123928612145c747fff3447a4818c5f7b07337121ba07e098c25daf737d26e3, 3072:pC/4rdZHsXsZwwR9pNk5mm/QcuLmHniPNb:pCwrvHwsZwY9pOmm/QcuLmHniPNb,"383966.bin.TMP", Linux executable (ELF), 116786 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/sh4", ecbd7844619b9f4d11ae897415a49f10, 340231c305f3bfba8954771ece4c7d7623c3c9c4, 32b6d8ab2172ecb033e9e6534fd32ef29b06a4e51b26a680e7edff4f319c20e4, 3072:MDVLSItJP+Xsp4JlN3HjjmH1cuEgvniuN/:MDV+ItJH2l3HjjmH1cuEgvniuN/,"384124.bin.TMP", Linux executable (ELF), 112633 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/sparc", ac87bc8912051aec3fc4d449785c9c64, 90338d7c29e545b03eafe8f4a3df44b69990dbd8, f1c7359a5eb9b654d1180db34c6c0baf1cb9b9cb085867f74bee492932c21c2c, 3072:wsrp9xV+GZTZepNPhj+e3fSqP6L7ymm/QMurB1nKGNb:SMQplV6amm/QMurB1nKGNb,"384113.bin.TMP", Linux executable (ELF), 129856 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://194.87.138.8/x86", ea0da3657cfdaef887649d60703f579e, e6261c28cb8de666287cfcd60fd0814039002d36, c984773b931e8e59cdaccb55f083c44fd34939e620cd6f384a794ba486509ecf, 3072:kiry859a2ADJf9wHYqbgFFo8+HeAH+TRCm7FnVqfJXFWbNb:T9a2aLqkrMesm7FnVqfJXFWbNb,"384109.bin.TMP", Linux executable (ELF), 116503 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://95.216.11.160/armv4l", 29bb74461a99df05207ab26bfce9bdb5, 7b8c15e6784efed74ee6683bc4950ba55e92b8a8, b927a256d80a1f861341723f94074b18b8ede81a9fe184698608046a4cca6831, 3072:6jVlyaL5JCrIpv04sKbttiEiTmP46aQyfPlfKsNb:yoCJCN4sKbHemP46aQyfPlfKsNb,"384120.bin.TMP", Linux executable (ELF), 129898 bytes, -, -
2020-06-08, "bashlite elf gafgyt", "http://95.216.11.160/armv5l", fdfa00379bea778ad0dd3ebdcdea1543, 428d3c9a561596ec210041936c5ce19714c66db5, f31bffacf483bb0c3d710d8f148ce2ba4b981f1681066e6b53f29288d60d4d22, 3072:4jDy/+mh1vtbPIKawbpcUPium7/L7QsvmGfIiNb:mOJ1vxfawbywm7/L7QsvmGfIiNb,"384082.bin.TMP", Linux executable (ELF), 125008 bytes, -, -
