# Generated 2020-11-25 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-11-25, "elf gafgyt", "http://134.209.100.221/m-i.p-s.RAZA", e0f282ad2a4e5a7074997b30edb22c35, b926fece77ab5242cff7fd90997b622986530ca7, b09ffed0822a4b3fafa51ac6da87374758cdfbc995bc3cfc00839032e0450cd7, 1536:L7ju1Tapq+XLYt2rKhHezLNTTeTUdAOmmrmJrStUmkiSFxfC7xbXe:a4wSLNTryOmmarStUmkiSFxfKxbXe,"851612.bin.TMP", Linux executable (ELF), 117385 bytes, -, -
2020-11-25, "elf gafgyt", "http://134.209.100.221/m-p.s-l.RAZA", b6fe4ccc08251e129bc86da15800714f, 8904caeaaef052038fed2631cc04324e22ebc01f, 143fd38fedfcc483f896856ba112e9788720e6803f9779fef640772272c66fec, 1536:JLeT0AhSgCSkSHMwKJrZkhzw4dI6vwgck1OCzfgB4UmkiSFxfC7xbXe:J6kSHpKJr6fvwRoYKUmkiSFxfKxbXe,"851613.bin.TMP", Linux executable (ELF), 117385 bytes, -, -
2020-11-25, "elf gafgyt", "http://134.209.100.221/p-p.c-.RAZA", c0d52f1e079c14aea08490e62210a521, 26cc4156f8c9b70167e29b026869c1d9d77f5306, 5d1f265e01c7456279e8a004cbc6afce0a7a66844890f881b8844c8942113cad, 3072:c4K5cMvbYAlnPr2iw1FqmCVrQAFiOXkYe:G5cMMAlnPWqmCVrQAFiOXkYe,"851611.bin.TMP", Linux executable (ELF), 99992 bytes, -, -
2020-11-25, "elf gafgyt", "http://134.209.100.221/s-h.4-.RAZA", d42ee38b821d06443cb68518e7fc6592, 96e04684796e4d220cb708edfc54b9c2b273b796, e7fc43fb7f0d9592f4d494f40c395d2afc630173afeb2c03df263ae17393e66e, 1536:2PN8TuFwKoehRmcbrLoaOFa7Cg8FBmj9VqYLe8f26e:+GSXo6brUS7vcmj9VqYq8f26e,"851606.bin.TMP", Linux executable (ELF), 80431 bytes, -, -
2020-11-25, "elf gafgyt", "http://134.209.100.221/x-3.2-.RAZA", 4e99961692802d7f1d2b589ab08f4954, 783cb6984e53f8e829dc8f25be4d314145b41912, e61e64529fa71a23c6fa9fe87f7751db08b8dd98f0361c133c1421f301c97f85, 1536:F/qihon/WXKG01KNw7XsCtGV+7roncmLI2VOCjXUfJRk:Aihou6ZKNw7sCQi7mU2VOCbUfJRk,"851609.bin.TMP", Linux executable (ELF), 76737 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.arm4", 6dbf56596c5ab7f10c09af0bf25b459b, bfffe7cec762a24525854ef16242f4c522961e5f, 7421924da7235abe093fa24d34e333ff2e883e5595b0c512df4ed8a806e8bd1c, 1536:7TqOIBM9ItFCzx5O8nsMyYP+CvVAOStVNLb2pqmkgmQAE+dAXDfj:iB+zTscRVAOKKkmkgmQAEUAXDfj,"851554.bin.TMP", Linux executable (ELF), 91819 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.arm5", d530552b0e08a590528223bfaa83606e, 8f9b6cdf7da9d1f7b14a98112d489b28b7ca6c47, cd463ba23a6cb28b682a8ac6207395fe808ae4ae949df1f2a990e2c82eed4de3, 1536:GDN+IBSIzNENYx5OklUrpB3ndB4Oj+cmZhBQ4Kb3RXFFj:KBXoY5U73f4OjNmZhBQ4KjRXFFj,"851563.bin.TMP", Linux executable (ELF), 85241 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.arm6", f9f74d9a6b051445e7fecf0f595628c4, ae66aa8a4ddc53cc35acf7984b87eaa86c15e0dc, 458efae8941e47b40d4a949670c2cb69ff189d1d66bce4521237d052fa369d77, 3072:24obK0vGayP+wCgGmWrkzMPE+mBQO/IXZFW:24o9Ga2CgGkkE+mBQO/OZFW,"851561.bin.TMP", Linux executable (ELF), 106529 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.arm7", 22e485d0bc81ca8ad7a7ec7c6d589089, 78bcb56f929e731821ffabb9ae6d47fc7ba521c4, 6721e8ab5df93003aaf2632cd19f2d3e1c6cdedceb2de613409d78725d4bc19e, 3072:1b2NQvfSUWKL2BaE3P0M9CaJQM/9ISGJomhwfCHQC2W:92NQv6UxL2BaSb9CaqM/9YJomhwfCwCt,"851565.bin.TMP", Linux executable (ELF), 144778 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.i586", 10939503572b9fe3a132abf7353fbada, 00efa7d6bf3c976ea88e266eeff6e5820f058784, 05dd94d8f7a3b8379105312f1208d13cb3774a4152607a68526c5b7c8ee6a0c2, 1536:GqVYPCfxThjUdOn4JymPWBSgSh1MtN2r/NbHBDSDmd+l2OZ/fufYEZ:GqUC5ThgdikrEHM1IkrVbJSDmMl2OZXa,"851556.bin.TMP", Linux executable (ELF), 68252 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.i686", 0ca01f1c7a883a2fa8914f53dbff1dc0, 95e7f387601ec1d2131dbd03bc698168607bbd28, 1deacd0b97c010bb5435739f95bd273af56303f5ee1c107438f6d4d72ac34dec, 1536:Vk8bOW0mDIdV5LTepgWncXyBolDmF+l2OZ/fufYEZ:FbOW0mDI1LeNcMYmEl2OZXufYEZ,"851559.bin.TMP", Linux executable (ELF), 68892 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.m68k", ce44d91cd179785814f07ba375b41290, c4005ab6343e8f7f53b3f7476f8799b40a08a079, 81241a1b81bd8413a7a369dc2350819fd5c305030ec7895621a458b0a155e453, 1536:2v8A0UlZxWb5f584AqOwL4YMVMKxnT0yH5l1NC9Ob+xknVQBGHbHImzS02q2/cOG:cbHAbBryVrxnT0yH5lrC9GQBrmu02q2I,"851558.bin.TMP", Linux executable (ELF), 86515 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.mips", 3051321f2647e9805f2cf9201934acf2, 5c4d2da26240df6c13f76ecfdad5a5cc36b0fa44, ddb1202bd7adace28cd3052b379e53db6d80309d576f93b91a9bf19b8382fbe7, 1536:27j+1TjCq+LzIfm2rKsnmCYy6rfV2D3ney2bS1jxlrimW+zWBSirHzai:BNHQymd2D3L2bS19pimW+zWBSgHzai,"851557.bin.TMP", Linux executable (ELF), 104712 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.mpsl", dfb9de1a3e93f015cf51eac0ad6313b6, 4c42d720b2c28d705e3655ee6f18b6b75f6fd48b, e0c268caa426f4ffa3952e5cc4ad95fa156c4c8aad5fcbd947b5ac12b705f073, 1536:kGeTzY+eXiKbmTYWZMbZMPtAw7p7sXjYggpL2ymOimW+zWBSirHzai:k4k/pOZM1p7Nggd2ytimW+zWBSgHzai,"851562.bin.TMP", Linux executable (ELF), 104824 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.ppc", f1b73594b36cea1e83a3df78ecee8025, 978f5f372530a88b9416927c2de4c67e18215a4b, 315141a570d9f3cb4c2f1f73cf668d40b6697333382e8ff00b686a5d6db5cf2e, 1536:lotQm32LiSNGOHtMeFmB7DIa3mJ2vQPgmJaWnFA1Q8yVmX02q2//8fBgj:lotNGLiSNGOHtAnIa37ExFbfVmX02q2p,"851560.bin.TMP", Linux executable (ELF), 80349 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.sh4", 85b2dac6d3fe1935e3071970028a3382, de906bffc28fce274643fc1d24af6a6ba8e170e3, 8817014ad33f725a761fa1df20e11aa58298d02b610a5026b05fb3706e608506, 1536:F1BOKQIQO6TaxQQ7Krt071p6CdG2WrXDJLi+wmk02q5vc6fBnj:FnOKbQO6wt+ra6mmrXDpi+wmk02q506h,"851564.bin.TMP", Linux executable (ELF), 72101 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.3.75/Demon.sparc", 10b77e65d7fa15ea55922391bc443f19, d54a0d7cce76714f03ff7b6a403ecf83b6561114, a69d28f2f47fd19424a7024f3537e5580057f46aa62841a908630b16202239b6, 1536:D5JHzqN8qKmtxa5Fet1PdcdsH33mX0Gq4/cOf3Tj:aNbKm7qFIPad633mX0Gq4EOf3Tj,"851555.bin.TMP", Linux executable (ELF), 90411 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/a-r.m-4.RAZA", 54eb5eb5acde62f7ce3c25cb50f5ae71, 801dff7a2f91e39c81cfad862aaae6681fad6d43, 646403b5e87f6ab9e76b6d3083d28ab34976426e30d8a4c3a2a87bfcbeeecfc4, 3072:s4OJYQTfYIFnPnuuEZFKmCVrQAFiOXkYe:CJYQUIFnPeKmCVrQAFiOXkYe,"851569.bin.TMP", Linux executable (ELF), 99992 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/a-r.m-5.RAZA", ca3915d5d6bceb6ca8d170bbe77d2bc6, 8554426363fe56e7c6393859edb384222e1179aa, 227284f2280822472e3591d9acc4d14fe3d59bd5bfefec5ce885f5d8b4329247, 1536:fTT7FN4P6n3JdUdfAgmWcq1i+FajxHOCjtPQkVOyK9pY2emREqQ4b/X7XSee:34y5d0r1cjjtP3uLY9mREqQ4bv7XSee,"851568.bin.TMP", Linux executable (ELF), 93270 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/a-r.m-6.RAZA", 294954ff338127bd53967235371599ea, 29746d31240fa24d535a3ecb4926f5ae10b45f30, b868d8bb03b39a15f41ff05bd69e900c6a2f5e7b6d8a8acd9e4959515e0430c2, 3072:MPkl1NaxGMgTt9Ov1/B+sBDoEwbmTQOWsXAOn:zl1NaxGMgTA+sBDAbmTQOWCAOn,"851566.bin.TMP", Linux executable (ELF), 115110 bytes, -, -
2020-11-25, "elf gafgyt", "http://161.35.40.232/a-r.m-7.RAZA", ce6f64341c23c1f0287c4c99e5cc0ad9, 768255581712082725e8fa9f4dad10a986f39d49, 793bc47263b2eb561d96e90d062abfdebff2352290e590842d8dda3988310417, 1536:EQpFOADppqlDZHWwc31dW3ISvRd4uq3drhEmQ9VqXjtWf2Xe:ESVDu1Hc31dW3FpqNtEmQ9VqXBWf2Xe,"851567.bin.TMP", Linux executable (ELF), 88786 bytes, -, -
