# Generated 2020-09-23 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-23, " 2020-0-23 Dridex", "https://m-pcp2020.apps-ph.com/nzqheoy.txt", c8ec2aee1e6b3b1aa46f5c6dcf9c7110, 3edc2c3cbd1cd08b5e34b21433e5658e81f99f0d, 11d6703c422ba5ff6cbc0f40c5099a283dfd70fed43d1265366a4919201c6ce0, 6144:OaM65wVpzY9WKgRP2Ba6k0UwLBlZtR7ynoOyzzR42eAgA:OffY0P2BfxjhOQe67,"605953.bin.TMP", Windows executable (MZ), 327680 bytes, rh:cb8e9c5b7960715adb8791c540f12ccd, mh:3c9b1d98d3c934fb360d5cd8bd771a67
2020-09-23, "elf gafgyt", "http://194.15.36.246/pXdN91.i586", 818195e04efd93ce0bffa895a50a1706, acd472c4498b538059bd964414e0b85e4ad51dd1, 0d9ae05a21007ea5176441dcc8da52c16c443c986bbe97b1f8814ad6f9c84655, 1536:gcI/g99UjUWdxkLOzf/q1oajmzDKasExTe8mSgia9ZwmLItVOCjXZRshS:dIY9UjUWgyzfyyajUDpsWdgnwmUtVOCf,"606138.bin.TMP", Linux executable (ELF), 76786 bytes, -, -
2020-09-23, "elf gafgyt", "http://194.15.36.246/pXdN91.i686", f7d4efa0bfb88981fc76efe9660fa96b, 8a0f7318ea1a8ce3c1c93c689afd7910828c1edc, 58e976873dc6be926cfc8d06a97579e8259d3fd5864dec798c20d795f8c39c13, 1536:D/e9hSvyrxWy0N+/WkngmVu/Nu6LMMLLnAmLItVOCjXZRshS:K9EvyQtiWkngku/DdfAmUtVOCbZRshS,"606141.bin.TMP", Linux executable (ELF), 77490 bytes, -, -
2020-09-23, "elf gafgyt", "http://194.15.36.246/pXdN91.m68k", 2e75e859c699941cad215bebdecdc151, 5d294830e6cae5be37bf67fb98cba962376b5e38, 855c002f8b4b8806c5eefff9232170e9eee375c7c4ff373bf60f5d8c9ff5cfce, 1536:EVGsskA8eXllsG+EKQmCCecrIy9ctUaFfCOayTOgeepp3jpTmQ0VqXjetR/7Q:lbkEXl/+FTu7tUaFfCOayTOvehmQ0Vqn,"606143.bin.TMP", Linux executable (ELF), 94359 bytes, -, -
2020-09-23, "elf gafgyt", "http://194.15.36.246/pXdN91.mips", ebbbec3c7f8692056d0120e289ec2a00, 1e62a71acb8ca90f24055bfcfde3aebfd223a1db, 7e843bd2208be1a251c5da579a7c7cbfb27116b263cd15a29206a99176ff32e0, 1536:Ewf7jO1TUGquXg8heYbyy2rK28IWbQZYeJ4moGjaUCOAbqtFSUmkixFxfC7cgjQ:GeIbQZqhYEHbqaUmkixFxfKcgjQ,"606142.bin.TMP", Linux executable (ELF), 117457 bytes, -, -
2020-09-23, "elf gafgyt", "http://194.15.36.246/pXdN91.mipsel", 217663f10f6979df92f7ea3e4e23ee09, cc0e10890c1fb890e52a4b56bde06dba541da8c5, d0ba1f239acef1bd64f103bf3d1378a1bc4b3b396f8009575e336323c60ab5b8, 3072:sSinHZfD1UaMOwNoEgb3yUmkixFxfKcgjQ:sSorCaMOLEgbCUmkixFxfKcgjQ,"606146.bin.TMP", Linux executable (ELF), 117457 bytes, -, -
2020-09-23, "elf gafgyt", "http://194.15.36.246/pXdN91.sh4", 71036932a7e470fc60e78e559c947fc7, a5d9daac1a215b3860d4f782e92a4d55fb855a47, 6e61d1378a0cea0538e36b15ff13752ae5be06f24cd27fd1309d4ffd4176a8ec, 1536:7ViQZKIrylmB94C4De8CzFESUmj0VqYLeRR/gQ:J/gITB9z8wF2mj0VqYqRR/gQ,"606137.bin.TMP", Linux executable (ELF), 81333 bytes, -, -
2020-09-23, "elf gafgyt", "http://194.15.36.246/pXdN91.sparc", ad81f5576674b59e8c23bcb80ff60a28, a499ff01770b3ff3bca86a3ea21e5010c708bbea, c15c4fcff540b75ca1e6629f201f1dc1d94d8c73bab3e4b0c4ff64d7eab64257, 1536:hCHhlDvmniNM5atitjNs9cmQ0FqXjetRea8Q:ghiiN8pDs9cmQ0FqXytRH8Q,"606144.bin.TMP", Linux executable (ELF), 99079 bytes, -, -
2020-09-23, "elf gafgyt", "http://194.15.36.246/pXdN91.x68", c7808d3006be838e49fba1f17c588033, f9782257094d7922fe1b13490d635972643d5516, f82d8a60989394cbdafeed17709f706b20145310c03a5c02ee8c06490c4ec973, 1536:817HBry6rXyJ1NL1JWP2+oGEte4ssd33eMV68lxAmoIVuOVjeDlOXQ:8ls6rCNbWPeFzssdneMV68QmrVuOVyDb,"606139.bin.TMP", Linux executable (ELF), 89435 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/a-r.m-4.SNOOPY", b7e81b6c45a3cc0c71fcae61b68e5ef3, a5a6a757f6aba026d09d64478060126149bfff71, fcb5d2745df46ae16074eff438151137a48126d2aa8ecdbb8ca720bf213893ca, 1536:EIkg9VQPAWlMTEb82Mm3xDKMsF0rOLcvLNPzRxQMpy2SjmokCmCVrQAFW9OXkYe:dQBMTDWWFGLNPX5SmCmCVrQAFiOXkYe,"606196.bin.TMP", Linux executable (ELF), 97538 bytes, -, -
2020-09-23, "elf gafgyt", "http://45.76.255.176/a-r.m-5.SNOOPY", 8a63f3af7cbcbfc288b7b62a542c674a, ddb2737cdff0bd84b7f47c2c86fdf38754e3556d, 1d54209e4b73a8a14ab45cd2c81d0e9e7cb2b4bb651946479ad7ccc59d948888, 1536:LBkF9VQPAGZHYyEfgcqpq1innPTxHOxyePczYrmREqQ4b/X7XSee:OQFHYBv1WT/ePcKmREqQ4bv7XSee,"606193.bin.TMP", Linux executable (ELF), 92448 bytes, -, -
