# Generated 2020-09-08 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-07, "elf mirai", "http://23.94.190.119/bins/Hilix.ppc", cfca4f7bc33e6694ec4276ba3f692cb0, 65bcad60a2ee6191919db6183afe5882dd2027bf, 6ac0da33bb240c6aa3190bba6c2b238c547ca65e0136ac6af9fea98b97ea8577, 1536:EAyte19QO0+lQNMgNrzTamziLWNIUFKz7Kw:YHO0u7gNTamz5NIUJw,"455045.bin.TMP", Linux executable (ELF), 58456 bytes, -, -
2020-09-07, "elf mirai", "http://23.94.190.119/bins/Hilix.sh4", 671eb90da276d0850ef9236ee27bde2e, 067a3c3fc467f79f50e169a220bae86e6a7c7738, 7301d4defd70aafb38aad82908a7aaf7f7f6b1442cd0c37257968573374cf468, 768:MadRc4wtD8MP8UlIYeM+OnYQ6rVc8jD+Ui9R/hOK/qoC+oh3dT6xC0Iz7K:Mag4wtoMoO+nOUM1hX/qoWht2C0Iz7K,"455050.bin.TMP", Linux executable (ELF), 54952 bytes, -, -
2020-09-07, "elf mirai", "http://23.94.190.119/bins/Hilix.x86", af07c53fb0d47d405c95eeb282577f69, 6a1e82e67536a3e7a7b62b900ed2d4f1fdc11732, ac76e8e31d932ec071bf86fda2b0f8e433e451baa5832418945d7abdb0f0325d, 1536:u8OP6OftfvJfrJf0hJeVVMlrZ778tjGIxhBYcPnYvPGGgvL7:/OfVxfrJfAJ2Vg1UtjGIxhBRnYvuP,"455048.bin.TMP", Linux executable (ELF), 54032 bytes, -, -
2020-09-07, "elf mirai", "http://40.84.141.196/Spoofed/RebornGang.arm4", 127a1ecee3ef04c575d5cf32d986cb39, 0324da835d5d47269f9c29653d06f8c622fcdf73, e432079b52a0e0a2266742025730dd1b06446e91177453abe4d6eeb78d98067b, 1536:GbtexU5L9XouIRhb96pUQzXtwavaJ3V8OHxouJeZWDFI8FM:GbtexU0r8QCKw2Fbi,"455034.bin.TMP", Linux executable (ELF), 71864 bytes, -, -
2020-09-07, "elf mirai", "http://40.84.141.196/Spoofed/RebornGang.arm5", ebb0131041284d209dfdc1319cc044da, e4653f334c993982c457f0f718a6dfc8b52d7c4a, dba1b7878d6f94790baae66b14368f06317e104a797be57791c2c832d524d8c6, 1536:dOxGfyRWiPLacGXWzM9l6yTzpl84ETjpk19y20Yvck6YceZWGzDlMH:dOxkyRWiPkjX0QckVcwLmH,"455040.bin.TMP", Linux executable (ELF), 62680 bytes, -, -
2020-09-07, "elf mirai", "http://40.84.141.196/Spoofed/RebornGang.arm6", 9d03774f7abcf533d50be734b5eaafb6, b3f733a1bd8f66cefe9353dde6893a128ff55b2a, d831269211069ea5e00fa879b1265c43525f2c0b465914bdd9a149463aa6e8b6, 1536:29n7/xkRBFg3yFhk20WtEu+1F4YPjaduBcPYO9mrsplDKZUlQBKXAVan1X+F8JyB:gJTyHknWt/+L4qjmugd9mrsplDKZUlQ3,"455041.bin.TMP", Linux executable (ELF), 83072 bytes, -, -
2020-09-07, "elf mirai", "http://40.84.141.196/Spoofed/RebornGang.arm7", 827e39d83f82721eb9f65a08980f4168, 0dfd6788524c6a1a394da23943b10881a2feeb17, eeda1f6174c7254380db550c740a0a00b0903b540d6d6bffa2bf710903451dca, 3072:walgM69pe0QmlTvIUdt9mrsplDKZUQQBKXAVanXX+F8JyvSPhLZ85iBMR6yoC1Q2:walgM69pe0QmlTvI8t9mrsplDKZUQQBL,"455039.bin.TMP", Linux executable (ELF), 145189 bytes, -, -
2020-09-07, "elf mirai", "http://40.84.141.196/Spoofed/RebornGang.m68k", 137955335d3340da1304020f44e2ffac, 4074ec937961ddee1053e67f09844ac539027a55, f9c95a5300eae5b8152ff9f6d5be9c6fb4de338fc2dd6703107cae803709f775, 768:mYuzcClmYrJfIGh6HHaihHHeIXXdauZj0CGeWx3ytvptM7edUo+f1prazIQePbL:mYqcCRrdIC6HHaiFu/eM7edJg1pmz0,"455032.bin.TMP", Linux executable (ELF), 54336 bytes, -, -
2020-09-07, "elf mirai", "http://40.84.141.196/Spoofed/RebornGang.mips", 151855dbd33e7fd2bbf5de3f9d0d707a, 2e4c2d5e6d43f9010bfa56461f12b50ddbf427e3, 358e50b8d25526643f1278d259a55e98334ee22b60077cdccbc78dcfca09d4d2, 1536:1YRdsnDd6C6gb/ZVyDYjMbwqZ9f0vfwW9ufY1C+KBtyRirfXDOiOe3J:CHsnD8/gb/zyDv9f0HD9FC+KBtyR6/DX,"455036.bin.TMP", Linux executable (ELF), 89332 bytes, -, -
2020-09-07, "elf mirai", "http://40.84.141.196/Spoofed/RebornGang.mpsl", cfc36cd75116c4ab635e129e7520026b, 13580403f096e1148200bfba0b67f04dad814d75, b22fe5044301c021b5976403e43b8b915041f0f6a436995d2d5848ea1e0cce58, 1536:NYCYxrXP40ODyPwHRQ9PlzTRfyToNoZqgi:qCYxrKDy46NZ,"455035.bin.TMP", Linux executable (ELF), 92100 bytes, -, -
