# Generated 2020-09-16 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/razdzn", c4856803410428788aa66bfa696aa37e, 69821710dc1320c417e482f0a44c8a936799317b, 27b2962e192df033938aba734fcc98cd37f1b50adbb7837c414cd891ce2524d7, 3072:bDLYBNKtyZrVvnNYd+soZS9BF0Olt5MofR1c9OXH90PfNatph1:bvYBw+qwS9BFLlEo51ckXH90PfNatph1,"527348.bin.TMP", Linux executable (ELF), 157137 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/vtyhat", 51062f300f4e54a2568e2fbf5eea43ea, 77234eaaa3bf9673000ba8951c485a22a3493f37, dc3e835c3168609a3b906e92a45426fd36c06f60e971a79c992ca7682f176dab, 3072:DaeQlJawzedF0GFGL29Frh+0LS0LUD0afD+tKIj:DTQHawzK/G69K0LS0LUD0afD+tKIj,"527520.bin.TMP", Linux executable (ELF), 171645 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.137/vvglma", 98fe3063b5363049ce065c08919b3b87, 5da2d303904ce468d741eb6fa68644549fbe1236, 8307d8605e6afc3e35186d4454b465feaead4f3866dca8e8e2e5228f90ffa2b2, 3072:6D2nR8chKhMScJqCKBqoE45zM5NCUXAMBlbZ9aC6rpqPQmPOLVPU8oJDHX:F54q8w45z+5lTyrpklPOLVPU8oJDHX,"527396.bin.TMP", Linux executable (ELF), 175488 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.arm4", d020ee16d33bc87b5153225aa5da0049, 3416f03fd8ea4575685ccae9da77a723e56ab78c, a021a5d05250e5bdd5a214b022c37272a1597c15cfba84d72f1ab68fd885ad25, 768:ZXL+ORFEEPdfkrzTgKe1/MPqzRaDBG7ZHfyp5R03ED6cs3Uoz66w5d4RzK:ZXL+mjlszTgP1/M05ypAEDIz6fMK,"527429.bin.TMP", Linux executable (ELF), 44508 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.arm5", 11fd30e387010ed010aaa75556bbedd1, e54065dcb9d2e3b390e283308d238906934eab42, 7333057bcc991d9c42c8ff832abf8fb80ca89848c64fc93cd87c69b9a658820a, 768:thNwqgI6oH8x38iI2fSYpbDpehL+DE7ms3Uoz/wsmis4A:thN2O8FCfQbDMhygzi4A,"527509.bin.TMP", Linux executable (ELF), 42264 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.arm6", 3849df02503f3bac78d711810329c2c9, 6ee7e6bacca7ef0c966d3e08e5fcdb28780f41ce, 175b6cb810700488f434173f38abe20331eaea194432a5991ca8cde059de50eb, 768:TISZh3MYVUrPl1vCY2Bn+SG30UI408jo3M/gdVt6v9q3UEL7VmTPSAxJsQmv/7:T7dMFrDCY2B51ssdrt6eL7UGrQmvD,"527525.bin.TMP", Linux executable (ELF), 50292 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.arm7", 42056696eec078fdea19b1641adf3f54, b7043b05be7f3929b37234b3543de8105ccdeaa0, ee6ed08131fb18096163b383c891bba12cc1f5a342d9a2396151ec4fc8c75ff1, 1536:cD1JAIZth1GvR6j/xhZITx2AxcuVLc1Uoyt3/ep:cD1J1hR/xhuTxnVLc103/ep,"527418.bin.TMP", Linux executable (ELF), 63976 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.i586", 468d2d2cfe773eb78f208c514d914060, 67290691d68514d5a5d2c34f3ca1631e541275b0, 42c3819d9bb873258eeaaabc00d164e13e9484040bc7427bf730578c667f1357, 768:mrkNZQtxddRRD3gfRkfQg01ksD+0JcI1NzlGAUnjZ/cKbTrSSphawHrSunbcuyDe:UUQtxlRkG1EDqI1NRIj1XbTr3hIunoud,"527536.bin.TMP", Linux executable (ELF), 40712 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.i686", f76b6b0ea6d8d1fab4c48d8d6a3a8d22, 0025ea420fba2a8bc8635456736177ed918dc19f, 2141d53ed455d3c98d82722221c4b94281235bddeb524bf16b3bc1f39b07dc87, 768:8ch2em70Ci1e2X4lYX3I4GcPhAr25Cq67nbcuyD7UHQRj2qyqdRkNDbB:8chLAfDYX3CchCqWnouy8Hy6B,"527513.bin.TMP", Linux executable (ELF), 41168 bytes, -, -
2020-09-16, "bashlite elf gafgyt", "http://194.15.36.150/assailant.m68k", 1387ed1e6d21741d70a495cc415cbd1d, 8482a0227fd2fed9aeae36bdb0a6364fde6eb83d, 438d94b083dc1e36bd28fec0f90105f6d3ff96ecb148b69f86a238236af410ff, 3072:2INYDFHe69owRBpE2yI2VJ3AP4ILmvI0PDGnSQNER:2INYD9e69owlyIoJ3+FLmvI0PDGnSQNM,"527397.bin.TMP", Linux executable (ELF), 118298 bytes, -, -
