# Generated 2020-05-06 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-05-06, " 2020-05-05 Dridex", "http://genlew.com/grom.exe", c9b352426e3e7a29c5d1c3cf71b44808, 65035768bebc552eb6612fd63cc73ba6cc3bf92c, 17c66a318f48ef5531387fcae08b532e68e7553a8068ae2e37054d5da704645b, 6144:xYeRzgljWTqT7AGmqzSNU01ke9b67evmk:xYk8YI4wuU0C6t,"358707.bin.TMP", Windows executable (MZ), 245760 bytes, rh:0a269adb018c811ac9bca95c994d41f0, mh:61bbafad44409a20f8cc8217928e6473
2020-05-06, " CHL MetaMorfo", "http://borawebservicioscl1.com/desporto/F0AS2F4AS01FA4.luk", 13768a2d0b6ce070fa675fab12124c60, 8dea168651f693416f2fa1fc395d22e3fc9b390e, 8e17be97fad284300142323c42f0eb352dae833bac0a0e1f21e25b4cbced38b2, 196608:qCjQqoHQ0Rct9j89fNnykfru1C8zkTuopDb2xqsyslscgBHhU:ZjQqow0Kt9491ykfrYHz1opmgsysCcgQ,"358913.bin.TMP", PKZipped file (Office .JAR .WAR), 10348575 bytes, -, -
2020-05-06, " payload GuLoader NetWire rat stage2", "https://www.pocketfsa.com/a/arm.msi", 1e52b11a97c9ec3699421def2b146149, e58134f2eedd4f0ce823686f01f7f522dd5b89c0, 12c83025fe53146bb5d55cd409b0a8ef7f949906b25a330d48f557c642990979, 3072:nEQOhX097+C1c5GWp1icKAArDZz4N9GhbkrNEkYlFQgPYlHDk+C:nEVhE97+fp0yN90QEggPYDC,"359039.bin.TMP", Microsoft MSI, 200704 bytes, -, -
2020-05-06, " payload GuLoader NetWire rat stage2", "https://www.pocketfsa.com/k/k.msi", 612501eebc731337f3d8565d02f86bad, 86b9d57a6fca406a01bb7cfdb61d9d0996167637, 6ca9c663d1eeb5ce88a6d9a811cab9d3dfd94bde72af9e29f5a5e5d5875902c0, 3072:TEgOhX097+C1I5GWp1icKAArDZz4N9GhbkrNEkYPq1jDpmr/J/k+k:TElhE97+7p0yN90QErQDp+5k,"359043.bin.TMP", Microsoft MSI, 200704 bytes, -, -
2020-05-06, " payload GuLoader NetWire rat stage2", "https://www.pocketfsa.com/k/moffice365.pdf", 200145e8e34bfa4d77bb6c7469efb39c, 8151ae0df266977ae735def0b382c1315ce88666, 60ccdec92b23413b1b5391cb9923931e5b151f0f5877f1f90d730f0fede5f365, 3072:nOhX097+C1z5GWp1icKAArDZz4N9GhbkrNEkYYBuE2N6VCOk+Z:OhE97+wp0yN90QE8v2N6YkZ,"359045.bin.TMP", Windows executable (MZ), 173056 bytes, rh:9993b1523ba3f3b525098d179320763c, mh:275316520a166f0710bdd8a3b6cf1dd3
2020-05-06, " payload GuLoader NetWire rat stage2", "https://www.pocketfsa.com/k/test.msi", 2a946a7a5eb292e76b9a6172666f31f9, 72c90f3299dd84f64a1dd1cd03c68574b7e12c44, 964e264ece7fcb86df194ed5773d83e298b513c320857b0106c845d4dca0e29c, 3072:RE8OhX097+C1z5GWp1icKAArDZz4N9GhbkrNEkYYBuE2N6VCOk+Z:RExhE97+wp0yN90QE8v2N6YkZ,"359044.bin.TMP", Microsoft MSI, 200704 bytes, -, -
2020-05-06, " payload GuLoader NetWire rat stage2", "https://www.pocketfsa.com/of/office365.msi", 1422b2724aa98768ea7c39ffb21c29b2, 972396f4f20a3997e8ff1313e99a315b338ecf5d, 422317cd57ff785699340e850f2c7dccab6706ddfafafa212debedff358163b8, 768:N3EfRLVn4QPKxNl/cYf1LXUyWH7f4o8CzDUH6JLqO5e8QxeNONSMiFpJUCzDUH:VEXPKxf3hUTH7wo18HaW7xeNON6d98H,"359042.bin.TMP", Microsoft MSI, 118784 bytes, -, -
2020-05-06, "_2020-05-06_opendir_001.001.bin", -, b3aaa7372830a49db7729fd6d349c9cb, e760e9655212f4358565813789dd085fd78ec1d6, a0217ed4ea1131edc50fd179e669c8c87cce32bea5ba06fba1fa91bc5b22cfea, 49152:5gYbVECxbmldDeaICL7Ek9tVnWig3epFVEPykQ/ZEwBkl04oJYoi/P:5,"_2020-05-06_opendir_001.001.bin", Windows executable (MZ), 7424512 bytes, nh:0aaa097b0c4c8764f4e9e375f8f203fe, mh:0a80c305f8cf22ef91d9da42ab9f18a6
2020-05-06, "_2020-05-06_opendir_001.002.bin", -, fa2172774acf5e9f56826f06be84c7ac, eeb2889fba66c25eb8e92a8e624ac03c2e0ff4cf, d6c309521f070650856590b07e4a2ea0f971b00bb22ea705acb83676bc0e2694, 1536:vt/pUoxdeuO2DLfRCatRnuLOivrLxafcKlUXZUV:vtprXO2DLfRCajuBvrdaEKlUXZUV,"_2020-05-06_opendir_001.002.bin", Windows executable (MZ), 80435 bytes, nh:401e76ae1924019acb4309a9f276cbd5, mh:30b4a33dc2afe7e492a84d0f9e4f26ad
2020-05-06, "_2020-05-06_opendir_001.003.bin", -, 65f64cae013e7336716ca2ad666adc99, 2de5b8cd3281cd5229b0db3c05dc32b260793add, 2a75aca807754dab6a34f73acae621730e97ad576443f6df37dda02ef1d90f52, 12288:HpJ/oQj98zI0vWp5qAzq2J2X+ynT5ncWEohIpFYKrj4oqZ0P3PyBlex7m3MIzJjF:XoIDmiPH3ziC,"_2020-05-06_opendir_001.003.bin", Windows executable (MZ), 920064 bytes, nh:217a9ad5bd6be043c84194488739135e, mh:81ff57981d75503a16429551e9cbd3ec
2020-05-06, "_2020-05-06_opendir_001.004.bin", -, 9464eaeacfddf9e51b9ce4a28f37ce32, 8e11d32b3a3c0f604178fbec20dd3436ea9a2a20, 4cd6a54c3ed27d84d4fc5bde9d629f9e1cbe053747088baae104d6e59a7e539d, 12288:sNgoQj98zI0vWp5qAzq2J2X+ynT5ncWEohIpFYKrj4oqZ0P3PyBlex7m3MIzJjZT:/oIDmiPH3ziC,"_2020-05-06_opendir_001.004.bin", Windows executable (MZ), 919552 bytes, nh:b937373a0fd7a19bcf75d8d6ac94de1d, mh:749d44c0ed2b91497b6a7050d237102c
